"","X1","X2","X3","X4","X5","X6","X7","Y"
"68",56,4,48,5,49,37,46,0
"69",67,39,48,5,36,38,46,0
"70",2,44,48,5,46,51,57,0
"71",51,5,48,5,46,32,35,0
"72",44,27,48,5,55,52,58,0
"73",4,45,48,5,38,22,0,0
"74",3,16,48,5,56,11,23,0
"75",32,42,48,5,35,28,38,0
"76",38,46,48,5,48,22,29,0
"77",44,35,48,5,55,55,61,0
"78",29,3,48,5,45,3,17,0
"79",54,47,48,5,28,33,42,0
"80",52,36,48,5,41,28,38,0
"81",36,41,48,5,48,47,54,0
"82",24,43,48,5,54,52,59,0
"83",25,37,48,5,41,33,42,0
"84",41,48,48,5,51,44,51,0
"85",29,41,48,5,48,38,46,0
"86",38,26,48,5,54,16,28,1
"87",24,34,48,5,38,3,4,0
"88",44,49,48,5,39,38,4,0
"89",43,32,48,5,33,45,52,0
"90",49,43,48,5,49,3,4,0
"91",35,34,48,5,46,3,27,0
"92",51,49,48,5,53,14,26,0
"93",25,26,48,5,39,32,42,0
"94",61,36,48,5,49,35,44,0
"95",39,31,48,5,38,34,43,0
"96",3,37,48,5,43,18,3,0
"97",44,52,48,5,43,47,54,1
"98",29,47,48,5,71,65,69,1
"99",4,5,48,5,65,82,84,1
"100",84,44,48,5,48,71,74,1
"101",33,56,48,5,33,78,8,1
"102",64,58,48,5,48,78,73,1
"103",33,45,48,5,45,88,89,1
"104",71,4,48,5,71,7,74,1
"105",66,53,48,5,59,66,66,1
"106",63,54,48,5,65,79,81,1
"107",6,5,1,5,54,77,8,1
"108",6,46,48,5,45,81,83,1
"109",39,41,48,5,52,72,75,1
"110",11,5,48,5,58,72,68,1
"111",61,47,48,5,0,8,32,1
"125",73,78,48,5,58,51,31,0
"126",67,61,48,5,51,37,38,0
"127",67,81,48,5,25,42,25,0
"128",63,57,48,5,49,7,2,0
"129",71,86,48,5,4,54,32,0
"130",68,78,48,5,43,44,42,0
"131",69,8,48,5,46,57,26,0
"132",66,71,48,5,41,5,35,0
"133",29,39,48,5,52,4,48,0
"134",43,59,48,5,52,49,56,0
"135",49,29,48,5,56,24,35,0
"136",23,32,48,5,55,25,35,0
"137",29,28,48,5,44,23,34,0
"138",25,4,48,5,46,44,52,0
"139",34,45,48,5,38,24,35,0
"140",41,57,48,5,39,21,32,0
"141",31,23,48,5,73,5,14,0
"142",21,51,48,5,5,32,41,0
"143",43,37,48,5,53,35,44,0
"144",53,38,48,5,44,26,36,0
"145",34,33,48,5,38,35,44,0
"146",56,51,48,5,34,37,46,0
"147",36,54,48,5,41,38,46,0
"148",3,37,48,5,59,41,49,0
"149",37,52,48,5,42,42,36,0
"150",23,58,48,5,37,53,59,0
"151",44,34,48,5,3,33,43,1
"152",52,57,48,5,42,47,54,0
"153",44,28,48,5,43,27,37,0
"154",34,28,48,5,41,35,44,0
"155",52,44,48,5,37,36,42,1
"156",5,51,48,5,27,23,34,0
"157",34,46,48,5,52,35,44,0
"158",41,43,48,5,5,24,25,0
"159",31,47,48,5,29,28,39,0
"160",33,47,48,5,53,18,29,0
"161",34,42,48,5,41,34,43,0
"162",28,33,48,5,45,22,33,0
"163",43,4,48,5,58,75,78,1
"164",52,39,48,5,65,71,73,1
"165",73,36,48,5,53,91,92,1
"166",72,46,48,5,51,66,7,1
"167",54,57,48,5,56,81,83,1
"168",6,61,48,5,54,67,71,1
"169",7,4,48,5,56,86,83,1
"170",74,7,48,5,66,65,69,1
"171",61,52,48,5,54,67,52,1
"172",58,34,48,5,56,87,81,1
"173",31,44,48,5,5,79,82,1
"174",48,49,48,5,52,77,71,1
"175",69,39,48,5,57,76,79,1
"176",46,59,48,5,36,76,23,1
"177",63,75,48,5,64,73,66,1
"178",71,52,48,5,64,1,99,1
"192",63,1,48,5,35,51,49,0
"193",64,72,48,5,49,42,19,0
"194",63,86,48,5,39,47,34,0
"195",63,71,48,5,6,4,39,0
"196",63,65,48,5,39,44,35,0
"197",64,66,48,5,41,39,2,0
"198",68,67,48,5,49,4,34,0
"199",64,78,48,5,5,36,38,0
"200",64,81,48,5,37,39,44,0
"201",74,74,48,5,31,53,52,0
"202",7,4,48,5,54,35,44,0
"203",42,24,48,5,57,27,37,0
"204",25,48,48,5,44,17,29,0
"205",51,54,48,5,41,34,43,0
"206",36,39,48,5,48,22,23,0
"207",25,4,48,5,47,33,42,0
"208",43,39,48,5,47,31,41,1
"209",24,35,48,5,31,19,31,0
"210",4,5,48,5,45,39,47,0
"211",43,4,48,5,39,28,39,0
"212",23,33,48,5,43,33,43,0
"213",18,3,48,5,46,24,35,0
"214",44,51,48,5,47,26,36,0
"215",48,42,48,5,45,25,35,0
"216",41,43,48,5,45,31,41,0
"217",34,55,48,5,58,31,41,0
"218",53,42,48,5,16,29,39,0
"219",64,76,48,5,45,35,38,0
"220",57,54,48,5,37,28,33,1
"221",32,33,48,5,6,6,2,0
"222",4,46,48,5,42,35,44,0
"223",23,34,48,5,43,26,37,0
"224",3,44,48,5,49,22,33,0
"225",17,52,48,5,49,37,46,0
"226",36,42,48,5,53,32,41,0
"227",4,41,48,5,55,22,33,0
"228",22,34,48,5,42,29,39,0
"229",27,42,48,5,37,38,43,0
"230",6,61,48,5,49,92,37,1
"231",63,47,48,5,51,82,84,1
"232",55,47,48,5,57,78,8,1
"233",47,55,48,5,58,71,75,1
"234",47,59,48,5,52,76,79,1
"235",63,5,48,5,59,85,86,1
"236",31,5,48,5,57,84,85,1
"237",74,44,48,5,55,88,89,1
"238",34,51,48,5,67,9,9,1
"239",2,46,48,5,57,78,81,1
"240",89,55,48,5,51,72,76,1
"241",37,47,48,5,39,76,79,1
"242",58,55,48,5,57,7,74,1
"243",61,66,48,5,46,87,88,1
"244",52,54,48,5,62,76,79,1
"245",1,49,48,5,41,67,21,1
"258",67,7,48,5,46,45,33,0
"259",67,81,48,5,54,49,23,0
"260",71,71,48,5,4,54,39,0
"261",68,82,48,5,38,65,56,0
"262",32,39,48,5,53,28,38,0
"263",64,84,48,5,37,45,4,0
"264",63,8,48,5,46,31,29,0
"265",62,78,48,5,47,49,54,0
"266",62,83,48,5,46,36,4,0
"267",56,54,48,5,43,37,3,0
"268",61,6,48,5,44,39,38,0
"269",59,49,48,5,52,45,36,0
"270",42,4,48,5,56,18,3,0
"271",39,32,48,5,46,24,35,0
"272",23,4,48,5,39,28,38,0
"273",29,37,48,5,48,44,52,0
"274",29,52,48,5,42,29,39,0
"275",33,45,48,5,52,32,41,0
"276",17,38,48,5,45,42,5,0
"277",4,35,48,5,45,33,42,0
"278",47,29,48,5,51,33,43,0
"279",35,48,48,5,56,4,48,0
"280",26,26,48,5,34,25,35,0
"281",37,5,48,5,42,36,45,0
"282",42,3,48,5,48,26,36,0
"283",29,47,48,5,41,23,34,0
"284",4,46,48,5,52,49,56,0
"285",4,42,48,5,37,27,27,0
"286",65,55,48,5,34,37,28,0
"287",24,57,48,5,63,34,43,0
"288",26,5,48,5,44,32,41,0
"289",34,35,48,5,51,49,56,0
"290",38,3,48,5,43,29,39,0
"291",29,28,48,5,5,42,5,0
"292",24,41,48,5,49,23,34,0
"293",4,31,48,5,41,29,39,0
"294",34,51,48,5,44,37,46,0
"295",0,38,48,5,42,48,55,0
"296",26,4,48,5,36,26,37,0
"297",44,35,48,5,44,52,59,0
"298",46,61,48,5,48,86,87,1
"299",48,45,48,5,6,78,8,1
"300",5,66,48,5,31,92,92,1
"301",45,4,48,5,61,74,77,1
"302",5,37,48,5,66,64,69,1
"303",83,37,48,5,61,71,74,1
"304",16,51,48,5,33,39,48,1
"305",7,46,48,5,56,78,73,1
"306",63,65,48,5,66,67,71,1
"307",34,67,48,5,52,76,79,1
"308",5,57,48,5,71,61,66,1
"309",35,51,48,5,61,71,74,1
"310",68,51,48,5,71,75,78,1
"311",0,51,48,5,35,67,44,1
"312",3,51,48,5,42,61,34,1
"326",74,49,48,5,42,54,36,0
"327",66,86,48,5,34,41,36,0
"328",72,86,48,5,17,55,21,0
"329",57,59,48,5,39,47,33,0
"330",74,82,48,5,49,49,41,0
"331",63,83,48,5,4,39,19,0
"332",74,47,48,5,5,57,42,0
"333",75,84,48,5,35,52,33,0
"334",7,71,48,5,42,84,85,0
"335",69,59,48,5,46,44,52,0
"336",56,4,48,5,49,37,46,0
"337",67,39,48,5,36,38,46,0
"338",2,44,48,5,46,51,57,0
"339",51,5,48,5,46,32,35,0
"340",44,27,48,5,55,52,58,0
"341",4,45,48,5,38,22,0,0
"342",3,16,48,5,56,11,23,0
"343",32,42,48,5,35,28,38,0
"344",38,46,48,5,48,22,29,0
"345",44,35,48,5,55,55,61,0
"346",29,3,48,5,45,3,17,0
"347",54,47,48,5,28,33,42,0
"348",52,36,48,5,41,28,38,0
"349",36,41,48,5,48,47,54,0
"350",24,43,48,5,54,52,59,0
"351",25,37,48,5,41,33,42,0
"352",41,48,48,5,51,44,51,0
"353",29,41,48,5,48,38,46,0
"354",38,26,48,5,54,16,28,1
"355",24,34,48,5,38,3,4,0
"356",44,49,48,5,39,38,4,0
"357",43,32,48,5,33,45,52,0
"358",49,43,48,5,49,3,4,0
"359",35,34,48,5,46,3,27,0
"360",51,49,48,5,53,14,26,0
"361",25,26,48,5,39,32,42,0
"362",61,36,48,5,49,35,44,0
"363",39,31,48,5,38,34,43,0
"364",3,37,48,5,43,18,3,0
"365",44,52,48,5,43,47,54,1
"366",29,47,48,5,71,65,69,1
"367",4,5,48,5,65,82,84,1
"368",84,44,48,5,48,71,74,1
"369",33,56,48,5,33,78,8,1
"370",64,58,48,5,48,78,73,1
"371",33,45,48,5,45,88,89,1
"372",71,4,48,5,71,7,74,1
"373",66,53,48,5,59,66,66,1
"374",63,54,48,5,65,79,81,1
"375",6,5,1,5,54,77,8,1
"376",6,46,48,5,45,81,83,1
"377",39,41,48,5,52,72,75,1
"378",11,5,48,5,58,72,68,1
"379",61,47,48,5,0,8,32,1
"393",73,78,48,5,58,51,31,0
"394",67,61,48,5,51,37,38,0
"395",67,81,48,5,25,42,25,0
"396",63,57,48,5,49,7,2,0
"397",71,86,48,5,4,54,32,0
"398",68,78,48,5,43,44,42,0
"399",69,8,48,5,46,57,26,0
"400",66,71,48,5,41,5,35,0
"401",29,39,48,5,52,4,48,0
"402",43,59,48,5,52,49,56,0
"403",49,29,48,5,56,24,35,0
"404",23,32,48,5,55,25,35,0
"405",29,28,48,5,44,23,34,0
"406",25,4,48,5,46,44,52,0
"407",34,45,48,5,38,24,35,0
"408",41,57,48,5,39,21,32,0
"409",31,23,48,5,73,5,14,0
"410",21,51,48,5,5,32,41,0
"411",43,37,48,5,53,35,44,0
"412",53,38,48,5,44,26,36,0
"413",34,33,48,5,38,35,44,0
"414",56,51,48,5,34,37,46,0
"415",36,54,48,5,41,38,46,0
"416",3,37,48,5,59,41,49,0
"417",37,52,48,5,42,42,36,0
"418",23,58,48,5,37,53,59,0
"419",44,34,48,5,3,33,43,1
"420",52,57,48,5,42,47,54,0
"421",44,28,48,5,43,27,37,0
"422",34,28,48,5,41,35,44,0
"423",52,44,48,5,37,36,42,1
"424",5,51,48,5,27,23,34,0
"425",34,46,48,5,52,35,44,0
"426",41,43,48,5,5,24,25,0
"427",31,47,48,5,29,28,39,0
"428",33,47,48,5,53,18,29,0
"429",34,42,48,5,41,34,43,0
"430",28,33,48,5,45,22,33,0
"431",43,4,48,5,58,75,78,1
"432",52,39,48,5,65,71,73,1
"433",73,36,48,5,53,91,92,1
"434",72,46,48,5,51,66,7,1
"435",54,57,48,5,56,81,83,1
"436",6,61,48,5,54,67,71,1
"437",7,4,48,5,56,86,83,1
"438",74,7,48,5,66,65,69,1
"439",61,52,48,5,54,67,52,1
"440",58,34,48,5,56,87,81,1
"441",31,44,48,5,5,79,82,1
"442",48,49,48,5,52,77,71,1
"443",69,39,48,5,57,76,79,1
"444",46,59,48,5,36,76,23,1
"445",63,75,48,5,64,73,66,1
"446",71,52,48,5,64,1,99,1
"460",63,1,48,5,35,51,49,0
"461",64,72,48,5,49,42,19,0
"462",63,86,48,5,39,47,34,0
"463",63,71,48,5,6,4,39,0
"464",63,65,48,5,39,44,35,0
"465",64,66,48,5,41,39,2,0
"466",68,67,48,5,49,4,34,0
"467",64,78,48,5,5,36,38,0
"468",64,81,48,5,37,39,44,0
"469",74,74,48,5,31,53,52,0
"470",7,4,48,5,54,35,44,0
"471",42,24,48,5,57,27,37,0
"472",25,48,48,5,44,17,29,0
"473",51,54,48,5,41,34,43,0
"474",36,39,48,5,48,22,23,0
"475",25,4,48,5,47,33,42,0
"476",43,39,48,5,47,31,41,1
"477",24,35,48,5,31,19,31,0
"478",4,5,48,5,45,39,47,0
"479",43,4,48,5,39,28,39,0
"480",23,33,48,5,43,33,43,0
"481",18,3,48,5,46,24,35,0
"482",44,51,48,5,47,26,36,0
"483",48,42,48,5,45,25,35,0
"484",41,43,48,5,45,31,41,0
"485",34,55,48,5,58,31,41,0
"486",53,42,48,5,16,29,39,0
"487",64,76,48,5,45,35,38,0
"488",57,54,48,5,37,28,33,1
"489",32,33,48,5,6,6,2,0
"490",4,46,48,5,42,35,44,0
"491",23,34,48,5,43,26,37,0
"492",3,44,48,5,49,22,33,0
"493",17,52,48,5,49,37,46,0
"494",36,42,48,5,53,32,41,0
"495",4,41,48,5,55,22,33,0
"496",22,34,48,5,42,29,39,0
"497",27,42,48,5,37,38,43,0
"498",6,61,48,5,49,92,37,1
"499",63,47,48,5,51,82,84,1
"500",55,47,48,5,57,78,8,1
"501",47,55,48,5,58,71,75,1
"502",47,59,48,5,52,76,79,1
"503",63,5,48,5,59,85,86,1
"504",31,5,48,5,57,84,85,1
"505",74,44,48,5,55,88,89,1
"506",34,51,48,5,67,9,9,1
"507",2,46,48,5,57,78,81,1
"508",89,55,48,5,51,72,76,1
"509",37,47,48,5,39,76,79,1
"510",58,55,48,5,57,7,74,1
"511",61,66,48,5,46,87,88,1
"512",52,54,48,5,62,76,79,1
"513",1,49,48,5,41,67,21,1
"526",67,7,48,5,46,45,33,0
"527",67,81,48,5,54,49,23,0
"528",71,71,48,5,4,54,39,0
"529",68,82,48,5,38,65,56,0
"530",32,39,48,5,53,28,38,0
"531",64,84,48,5,37,45,4,0
"532",63,8,48,5,46,31,29,0
"533",62,78,48,5,47,49,54,0
"534",62,83,48,5,46,36,4,0
"535",56,54,48,5,43,37,3,0
"536",61,6,48,5,44,39,38,0
