"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","Y"
51,90,100,100,73,93,42,67,81,46,96,14,49,0,0,6,1
100,98,65,100,19,94,0,61,44,67,74,44,51,13,6,0,1
54,89,100,100,68,98,25,71,68,66,81,29,46,0,0,11,1
8,75,15,56,100,33,75,0,30,9,12,44,0,79,88,100,1
100,100,58,99,28,91,12,57,52,58,64,26,36,0,0,9,1
15,82,5,53,43,23,10,0,2,41,0,84,49,98,100,100,1
100,90,68,100,23,99,0,71,15,59,54,49,49,16,12,0,1
10,86,69,100,39,91,3,66,44,47,100,36,61,11,0,0,1
17,100,18,55,64,42,40,0,12,27,0,75,45,95,100,99,1
33,86,62,60,88,30,64,0,31,28,0,57,21,84,100,100,1
100,93,66,100,27,93,0,65,31,55,66,40,47,10,7,0,1
9,84,14,73,50,37,44,0,10,24,0,69,39,96,100,100,1
23,95,85,100,49,95,20,65,70,64,100,31,57,0,0,13,1
21,98,6,52,55,37,22,0,1,33,0,81,41,100,100,99,1
100,94,67,100,39,100,37,68,62,52,58,32,28,16,0,0,1
100,93,76,100,41,98,39,77,67,61,56,35,29,16,0,0,1
54,83,100,100,89,94,38,87,38,70,77,34,42,0,0,19,1
8,94,71,100,39,96,6,71,60,71,100,35,55,0,0,16,1
40,89,28,61,58,28,23,0,0,24,6,63,45,92,100,100,1
100,89,68,100,22,89,0,55,49,66,83,43,63,9,14,0,1
18,98,72,100,26,89,34,61,82,45,100,19,53,4,0,0,1
48,94,40,69,79,37,53,0,3,19,0,64,34,95,100,100,1
24,91,7,61,54,36,37,0,6,23,0,76,39,100,100,95,1
51,88,58,54,87,20,66,0,25,30,0,63,31,94,100,100,1
56,85,95,100,100,97,47,95,7,71,57,52,48,0,0,11,1
100,100,58,98,29,80,27,45,63,36,78,13,39,0,0,3,1
0,96,77,100,90,97,9,96,26,52,100,45,77,0,1,16,1
100,95,70,100,38,84,35,56,74,47,78,17,40,2,0,0,1
100,100,56,95,21,82,12,56,59,69,74,33,45,0,0,8,1
17,86,8,46,58,33,24,0,0,32,0,88,51,99,100,100,1
20,85,23,62,55,30,18,0,0,22,0,57,29,88,100,100,1
15,89,13,49,67,38,39,0,8,29,0,74,35,96,100,100,1
21,96,13,55,63,35,43,0,7,23,0,62,37,94,100,100,1
51,96,20,54,78,53,65,12,0,0,11,43,40,90,100,100,1
74,94,100,100,68,84,79,57,95,30,74,6,37,0,0,8,1
38,90,88,100,100,97,47,83,11,65,62,48,45,0,0,13,1
20,95,27,64,54,30,34,0,14,33,0,71,41,95,100,100,1
15,100,10,62,39,34,22,0,0,16,7,53,50,69,100,74,1
100,96,74,100,52,97,47,72,67,61,49,38,26,17,0,0,1
32,82,4,56,43,25,36,0,18,37,0,73,32,99,100,100,1
30,81,87,100,100,98,37,86,46,54,99,32,59,2,0,0,1
7,97,15,68,65,39,31,0,0,25,4,77,33,97,100,100,1
19,96,21,59,73,41,40,0,3,21,0,77,36,98,100,100,1
36,91,62,98,100,100,44,94,1,65,46,44,51,0,0,2,1
27,85,4,57,60,58,65,18,1,0,0,50,24,95,100,100,1
68,93,24,82,28,39,45,3,0,0,8,66,48,99,100,100,1
22,91,10,52,63,40,53,0,0,15,11,62,42,98,100,100,1
30,97,93,100,100,99,34,93,1,59,62,43,53,0,0,13,1
100,98,54,100,13,83,11,49,53,55,73,27,46,0,0,5,1
14,81,0,56,48,60,100,30,50,0,18,52,18,97,97,100,1
52,87,100,100,92,95,44,77,71,51,94,22,47,0,0,5,1
14,96,87,100,21,96,22,58,70,65,100,28,54,0,0,17,1
100,100,56,97,32,73,54,62,92,46,78,9,36,0,0,16,1
100,97,73,100,34,88,38,59,83,50,85,18,45,0,0,3,1
8,95,97,100,43,94,2,69,47,64,100,38,72,0,0,19,1
17,94,97,100,45,94,20,67,47,73,100,42,68,0,0,16,1
13,89,12,50,72,38,56,0,4,17,0,61,32,94,100,100,1
100,100,72,99,36,78,34,54,79,47,64,13,19,0,0,2,1
10,86,34,66,68,34,34,0,4,26,0,69,34,95,100,100,1
40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,1
7,100,0,56,51,37,39,0,9,15,5,62,42,92,100,96,1
45,93,0,60,75,69,89,29,19,0,15,43,26,93,100,100,1
39,80,21,60,35,19,12,0,0,31,16,72,51,98,100,100,1
93,91,40,100,15,79,23,36,72,53,100,21,57,0,0,6,1
32,95,100,100,55,95,0,71,7,45,73,33,78,7,11,0,1
66,94,100,100,81,96,50,81,47,50,54,19,26,0,0,12,1
35,96,100,100,44,93,0,73,27,60,85,46,76,17,21,0,1
28,94,96,100,83,94,22,76,50,64,100,41,66,9,0,0,1
0,91,26,57,52,22,8,0,4,39,4,81,41,100,100,98,1
3,79,36,59,88,39,66,0,15,14,0,55,27,89,100,100,1
7,94,17,51,94,47,66,0,9,3,0,56,18,97,100,100,1
90,85,100,100,64,97,59,68,80,38,72,8,36,1,0,0,1
31,100,17,68,41,36,5,0,0,35,7,81,43,99,100,97,1
56,97,41,63,69,26,29,0,6,28,0,72,45,94,100,100,1
26,97,28,70,59,35,22,0,0,23,8,71,40,100,100,100,1
64,89,100,100,47,87,7,64,25,53,74,43,51,14,0,0,1
46,94,100,100,64,97,17,76,22,53,70,33,56,3,0,0,1
27,65,58,36,61,0,25,10,0,45,13,74,56,89,100,100,1
18,100,23,69,57,39,29,0,0,27,0,75,40,94,100,99,1
30,85,20,66,74,38,46,0,0,17,0,65,31,100,100,98,1
36,90,34,65,77,32,40,0,13,30,0,72,24,100,100,93,1
60,91,14,80,50,59,56,7,0,0,4,45,41,91,100,100,1
23,96,27,54,64,35,33,0,12,42,0,93,50,96,100,100,1
50,100,28,70,79,38,65,0,0,5,20,45,37,85,100,96,1
38,90,10,54,74,39,48,0,0,8,7,55,29,94,100,100,1
100,100,68,95,26,98,27,55,70,53,73,15,35,0,0,16,1
17,73,35,43,37,10,0,0,7,36,18,70,58,87,100,100,1
40,85,92,100,100,98,45,85,79,65,99,33,55,7,0,0,1
85,90,35,100,15,77,32,53,91,52,100,22,56,0,0,7,1
27,84,20,51,38,11,0,0,2,47,9,93,54,100,100,99,1
30,100,23,69,66,33,59,0,19,27,0,67,8,100,100,97,1
53,100,30,67,59,35,24,0,6,30,0,75,41,99,100,98,1
10,68,25,34,20,0,2,24,0,66,30,88,65,95,100,100,1
46,96,57,70,78,30,37,0,1,25,0,72,40,100,100,95,1
34,100,0,62,71,54,76,11,16,0,10,48,22,88,100,95,1
53,94,100,100,60,90,28,65,42,52,72,35,46,7,0,0,1
40,82,10,76,59,42,66,0,0,7,0,46,32,86,100,100,1
58,95,36,68,62,29,34,0,0,19,8,64,45,91,100,100,1
11,85,44,59,47,21,7,0,0,38,5,75,50,92,100,100,1
14,77,0,56,91,55,94,11,26,0,8,46,2,91,100,100,1
49,97,23,67,72,36,35,0,0,20,4,69,32,96,100,100,1
37,89,97,100,60,95,15,72,72,63,100,35,60,8,0,0,1
29,98,0,55,43,36,43,0,21,17,28,64,41,98,100,100,1
0,81,16,59,74,39,65,0,8,6,4,50,33,88,100,100,1
30,81,0,35,60,39,83,0,41,4,27,57,39,100,100,99,1
29,85,82,100,100,100,43,85,27,51,81,32,57,0,0,0,1
52,93,95,100,100,98,54,92,28,61,58,36,42,2,0,0,1
56,100,15,70,42,33,2,0,0,30,13,76,41,99,100,97,1
9,96,13,59,76,45,60,0,3,12,0,63,24,100,100,100,1
12,92,1,58,62,38,50,0,0,15,2,59,30,96,100,100,1
43,92,100,100,85,97,19,90,55,66,90,37,64,8,0,0,1
15,91,23,65,92,46,68,0,10,14,0,63,7,97,100,100,1
79,90,61,100,26,73,44,60,97,50,100,17,51,0,0,8,1
39,90,95,100,100,99,45,86,64,72,91,43,53,13,0,0,1
31,86,95,100,66,95,10,77,56,63,100,44,62,15,0,0,1
98,100,36,99,0,69,30,52,89,49,100,4,42,0,9,36,1
66,92,100,100,85,91,46,72,50,43,83,24,46,3,0,0,1
34,91,100,100,71,96,18,75,38,60,89,46,61,16,0,0,1
6,88,8,57,48,28,23,0,5,32,0,73,41,97,100,100,1
36,95,9,55,73,58,54,11,0,0,10,52,29,99,100,100,1
21,52,0,48,39,50,100,51,68,0,26,29,8,83,85,100,1
17,93,25,64,45,25,5,0,0,42,5,96,53,100,100,100,1
26,91,0,59,33,44,53,10,15,0,22,51,39,95,100,100,1
22,94,26,62,64,31,34,0,0,27,5,72,41,100,100,97,1
72,96,100,100,57,95,31,65,49,51,67,29,39,0,0,3,1
43,89,25,59,76,31,41,0,0,21,6,65,33,100,100,99,1
81,96,39,100,13,71,13,39,76,44,100,16,44,0,0,6,1
59,79,35,73,72,36,35,0,5,24,0,70,32,100,100,97,1
33,87,17,78,58,42,46,0,0,12,15,61,42,94,100,100,1
40,91,94,100,68,97,31,73,44,40,100,27,60,6,0,0,1
16,93,32,55,61,19,34,0,1,34,0,76,45,100,100,96,1
20,90,15,66,37,18,7,0,0,45,15,95,58,100,100,87,1
22,90,5,55,68,52,76,9,4,0,0,43,17,87,100,100,1
18,100,5,72,45,55,51,5,0,0,8,60,40,99,100,95,1
54,92,100,100,56,89,18,66,48,52,82,34,49,8,0,0,1
46,90,100,99,100,100,46,94,12,69,53,40,50,6,0,0,1
16,91,0,49,61,55,54,2,14,0,0,57,33,96,100,100,1
57,100,100,100,53,91,22,66,67,48,91,20,50,0,0,8,1
31,94,100,100,66,96,5,79,0,50,69,37,92,10,22,0,1
54,88,100,100,85,94,38,80,59,59,83,29,47,1,0,0,1
42,87,100,100,80,96,30,77,52,62,94,45,57,15,0,0,1
0,65,28,36,41,0,19,4,5,40,7,79,50,97,100,100,1
5,89,0,54,40,35,45,0,11,22,9,70,44,96,100,100,1
37,93,94,100,73,95,30,75,39,41,100,29,63,4,0,0,1
38,77,86,97,100,100,41,92,23,56,80,44,56,12,0,0,1
39,96,2,70,53,38,63,0,0,10,6,55,31,94,100,100,1
49,90,32,57,61,23,5,0,0,35,9,79,34,100,100,99,1
23,75,20,52,49,17,17,0,0,43,9,78,53,92,100,100,1
100,81,66,100,29,82,5,52,31,45,68,28,46,0,0,2,1
37,83,77,100,14,95,2,68,52,46,100,23,58,0,0,0,1
54,87,72,100,100,100,69,100,42,84,44,45,28,10,0,0,1
32,89,19,53,73,37,53,0,0,17,7,65,39,100,100,98,1
9,88,10,49,62,40,30,0,0,22,0,73,40,97,100,100,1
39,86,6,89,39,47,53,0,0,6,10,59,42,96,100,100,1
37,100,14,55,84,61,100,20,38,0,2,43,0,83,72,87,1
37,100,16,60,63,42,31,0,3,19,0,75,47,90,100,97,1
27,100,18,65,52,36,20,0,0,27,6,77,45,95,100,96,1
15,88,22,69,86,46,68,0,0,6,4,62,25,94,100,100,1
70,89,34,67,71,37,51,2,0,0,23,45,49,88,100,100,1
38,83,0,58,41,32,32,0,13,24,13,64,35,97,100,100,1
0,95,5,58,87,60,85,16,19,0,12,48,13,93,100,100,1
8,73,0,61,63,35,74,0,6,6,7,51,25,91,100,100,1
15,89,0,68,87,69,86,25,21,0,4,45,8,86,100,100,1
15,89,34,53,50,13,4,0,0,43,0,87,48,98,100,100,1
32,96,70,100,12,95,32,66,89,62,100,22,51,0,0,16,1
14,93,0,54,52,31,24,0,2,29,4,78,44,96,100,100,1
29,94,91,100,60,92,34,70,72,65,100,31,60,0,0,13,1
28,86,38,57,91,37,57,1,0,0,8,62,42,98,100,100,1
100,91,75,100,47,79,39,45,73,40,78,13,41,0,0,0,1
47,91,28,66,70,32,98,0,40,11,2,47,0,81,100,100,1
61,92,100,100,74,85,55,51,92,36,78,2,38,0,0,11,1
38,92,96,100,65,92,30,63,65,48,100,24,58,0,0,5,1
100,100,60,99,27,83,15,52,47,44,76,26,42,7,0,0,1
22,86,100,100,32,97,0,69,13,59,92,55,86,19,15,0,1
65,95,100,100,45,82,47,73,94,59,87,25,39,0,0,8,1
22,96,26,53,81,46,60,0,21,23,0,73,42,95,100,100,1
13,98,8,65,41,37,29,0,3,29,0,70,45,93,100,100,1
33,93,16,53,69,34,24,0,0,19,10,66,34,100,100,99,1
100,97,75,100,45,86,44,59,75,44,69,18,35,6,0,0,1
100,99,54,100,23,79,17,60,61,63,66,30,39,1,0,0,1
50,92,100,100,53,92,22,60,48,65,80,40,51,8,0,0,1
11,78,0,56,53,41,46,0,3,10,4,70,46,100,100,94,1
29,87,92,100,94,98,34,81,36,45,100,37,64,7,0,0,1
6,95,88,100,34,98,6,74,43,62,100,38,75,0,0,13,1
100,92,65,100,39,79,37,49,73,45,69,16,36,0,0,4,1
100,100,55,100,22,89,0,59,35,61,69,44,54,12,13,0,1
35,90,100,100,39,88,11,55,62,64,89,36,57,4,0,0,1
38,92,100,100,52,94,15,58,69,72,94,35,58,0,0,2,1
100,100,63,98,38,91,42,66,77,56,60,34,30,16,0,0,1
63,90,100,100,62,84,42,58,82,46,79,17,42,3,0,0,1
25,92,29,62,86,43,56,3,0,0,8,53,38,94,100,100,1
29,100,30,64,62,30,20,0,1,31,0,77,41,93,100,95,1
100,96,62,100,33,83,26,45,57,42,75,19,40,0,0,1,1
24,96,91,100,100,95,32,92,25,62,87,51,62,0,0,6,1
21,67,27,49,39,21,0,0,12,28,26,59,48,88,100,100,1
100,97,74,100,42,89,31,56,59,39,67,10,34,0,0,0,1
100,93,66,100,40,81,39,51,76,45,72,14,37,0,0,4,1
47,89,33,69,100,51,83,10,14,0,0,44,9,90,81,100,1
22,92,17,53,63,30,27,0,0,17,14,64,46,98,100,100,1
69,91,100,100,54,83,25,54,73,62,88,31,57,4,0,0,1
100,98,60,100,19,89,2,58,49,55,71,28,45,1,0,0,1
31,100,17,68,64,37,43,0,10,21,0,74,39,100,100,98,1
45,85,34,63,100,53,71,9,3,0,0,50,4,97,79,100,1
100,95,63,100,37,91,31,63,81,55,89,32,46,14,0,0,1
100,93,68,100,40,91,56,74,88,63,63,39,31,20,0,0,1
100,99,69,100,39,78,45,54,87,45,78,18,41,0,0,1,1
19,91,9,66,63,43,42,0,0,12,11,64,34,100,100,97,1
24,100,25,58,64,36,45,0,13,23,0,65,44,90,100,100,1
21,82,36,60,82,32,82,0,37,28,0,58,34,89,100,100,1
17,87,12,65,64,43,52,0,0,14,4,61,35,97,100,100,1
49,100,54,67,95,32,47,0,4,11,0,58,31,94,100,94,1
0,89,14,72,35,59,53,12,14,0,11,64,42,97,100,100,1
31,96,0,55,57,54,64,6,20,0,22,61,39,99,100,100,1
22,99,0,54,50,55,56,0,14,2,22,66,48,100,100,96,1
54,89,100,100,71,91,42,64,63,50,83,27,49,2,0,0,1
53,92,16,64,76,40,39,0,0,7,7,54,23,98,100,100,1
0,82,9,59,56,34,41,0,10,30,3,67,42,96,100,100,1
26,93,17,75,65,46,44,0,0,18,21,70,42,98,100,100,1
19,89,10,61,50,28,25,0,3,31,0,75,40,98,100,100,1
46,81,15,59,51,32,31,0,0,8,14,56,50,90,100,100,1
28,83,6,56,73,48,83,10,15,0,0,42,32,90,100,100,1
45,90,13,52,88,46,74,5,0,0,4,43,26,90,100,100,1
3,91,61,100,47,97,5,74,48,52,100,32,56,12,0,0,1
100,100,65,100,40,89,40,62,74,51,63,30,30,17,0,0,1
41,96,17,76,50,37,31,0,0,34,1,86,49,98,100,100,1
21,88,0,57,88,58,88,18,15,0,8,42,12,83,100,100,1
26,74,19,49,64,21,20,0,1,25,0,64,45,87,100,100,1
14,100,1,54,51,47,36,0,0,14,6,71,42,93,100,97,1
24,100,14,55,72,52,54,0,8,2,0,58,35,95,100,99,1
12,73,29,62,66,32,29,0,5,29,0,71,38,96,100,100,1
27,92,22,53,58,28,18,0,0,32,13,85,50,98,100,100,1
43,99,8,68,73,74,62,25,0,0,7,49,20,96,100,100,1
21,100,12,66,64,49,52,0,10,16,0,72,43,94,100,94,1
0,87,9,47,80,54,80,7,24,0,2,50,25,91,100,100,1
100,95,68,100,34,98,19,61,53,61,61,20,31,2,0,0,1
12,83,8,54,56,31,22,0,4,24,0,63,37,94,100,100,1
19,91,22,58,50,24,25,0,4,37,0,73,44,94,100,100,1
56,86,100,100,64,92,18,73,48,62,81,38,50,7,0,0,1
41,91,100,100,99,99,45,86,40,57,89,39,57,9,0,0,1
43,99,19,72,53,36,30,0,0,25,10,73,42,100,100,98,1
7,96,18,69,68,41,46,0,11,25,0,71,29,96,100,100,1
55,96,14,68,48,40,19,0,0,18,6,73,47,100,100,96,1
41,95,44,61,58,30,13,0,0,30,3,80,44,100,100,94,1
94,95,44,100,12,77,29,53,80,45,100,11,52,0,0,8,1
27,95,14,59,70,43,59,0,0,10,6,56,30,96,100,100,1
100,90,78,100,31,88,22,57,61,52,83,28,51,4,0,0,1
12,60,37,36,41,0,15,2,0,42,27,66,63,84,100,100,1
11,80,0,54,47,32,36,0,11,24,3,62,46,87,100,100,1
25,84,56,54,47,17,5,0,0,35,10,72,52,90,100,100,1
13,100,20,71,59,39,44,0,0,16,7,61,42,93,100,97,1
46,83,41,52,38,15,0,0,18,32,36,65,59,87,100,100,1
51,94,100,100,48,91,6,66,42,50,87,28,60,5,0,0,1
31,81,54,46,51,6,7,0,0,42,13,84,55,96,100,100,1
22,79,30,53,54,24,32,0,13,42,0,86,49,96,100,100,1
34,62,51,96,55,56,50,13,0,0,6,56,38,100,100,90,1
1,92,0,63,36,33,14,0,3,37,5,81,50,96,100,100,1
100,96,66,100,26,94,43,70,87,55,76,19,33,0,0,16,1
42,94,12,60,56,33,33,0,0,20,13,71,48,100,100,96,1
100,94,53,100,21,84,14,52,62,44,81,14,43,0,0,17,1
24,91,10,69,65,40,46,0,0,11,8,57,29,98,100,100,1
40,99,5,63,46,41,9,0,0,34,1,86,37,100,100,96,1
32,87,26,62,65,29,45,0,19,35,0,75,30,100,100,100,1
23,71,2,49,57,32,23,0,3,25,0,65,34,96,100,100,1
27,85,57,50,64,11,15,0,0,33,2,75,46,96,100,100,1
42,96,100,100,80,98,32,76,58,60,86,28,48,0,0,14,1
2,71,32,61,100,44,100,0,29,5,0,50,23,89,98,100,1
0,77,40,64,54,28,43,0,27,36,13,72,49,96,100,100,1
42,100,0,66,61,57,64,12,19,0,15,47,30,90,100,96,1
95,90,70,95,0,100,0,66,69,59,100,27,53,0,16,13,1
100,100,54,100,17,85,15,50,55,47,85,22,50,0,0,6,1
39,96,24,64,43,28,0,0,7,45,15,93,46,100,100,100,1
38,85,0,59,48,53,68,18,22,0,24,50,37,94,100,100,1
100,100,46,90,19,71,42,63,92,56,91,26,54,2,0,0,1
13,87,41,62,93,44,78,0,28,15,0,62,39,92,100,100,1
25,92,20,41,67,47,55,0,20,30,0,76,43,100,100,99,1
24,85,3,50,84,52,59,5,0,0,1,52,11,94,100,100,1
62,99,100,100,62,96,29,85,33,57,55,32,38,8,0,0,1
100,100,53,98,28,77,34,57,79,53,76,24,39,4,0,0,1
18,93,94,100,100,100,20,94,3,64,77,50,77,11,0,0,1
100,94,66,100,24,86,19,51,65,40,90,14,48,0,0,3,1
18,89,30,62,82,47,73,0,20,11,0,65,43,96,100,100,1
46,92,77,100,100,97,56,90,50,55,81,33,41,12,0,0,1
27,95,0,62,59,47,42,0,1,4,5,54,31,95,100,100,1
60,92,100,100,64,98,32,72,66,60,76,29,40,7,0,0,1
21,80,29,47,85,44,62,0,20,19,0,67,37,100,100,98,1
22,100,1,52,63,67,62,21,0,0,4,59,28,96,100,97,1
4,88,19,58,59,31,24,0,6,35,0,76,44,98,100,100,1
99,100,66,100,18,94,30,57,86,49,100,15,48,0,0,12,1
72,94,25,100,26,71,25,36,72,44,100,18,55,0,0,2,1
35,90,43,61,62,25,21,0,0,19,17,59,46,93,100,100,1
12,96,3,66,76,40,64,0,16,17,0,60,7,98,100,100,1
100,96,42,100,8,76,0,43,55,42,92,20,62,0,6,8,1
6,100,61,91,38,95,6,67,54,49,100,23,52,0,0,18,1
0,79,6,64,41,51,84,21,23,0,16,51,25,100,100,94,1
50,92,100,100,51,96,22,60,43,42,86,31,49,0,0,0,1
36,82,32,63,67,33,37,0,0,12,26,54,50,94,100,100,1
16,89,76,100,100,100,32,90,22,62,81,41,67,3,0,0,1
48,89,100,100,62,92,23,66,58,55,92,36,51,13,0,0,1
100,100,38,87,2,62,48,51,94,28,70,0,0,4,2,28,1
45,88,28,66,60,31,33,0,0,15,25,57,56,91,100,100,1
51,83,20,78,51,49,50,4,0,0,21,46,47,93,100,100,1
100,100,54,99,16,79,0,51,48,51,76,27,47,1,1,0,1
36,91,39,53,40,15,0,0,2,31,19,71,57,91,100,100,1
4,85,18,63,74,47,47,0,9,16,0,70,34,95,100,100,1
10,89,32,98,36,100,0,68,31,49,100,29,60,0,1,15,1
21,89,0,68,50,37,49,0,7,15,3,68,39,99,100,100,1
