"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","Y"
286,1764,-176,3007,-2031,-1764,-1095,825,-754,42,834,-848,-2603,463,3008,-1285,-373,1299,1015,-1214,0
3219,-448,419,1118,64,374,-175,2227,-123,101,-137,-165,3321,-3406,2783,-2099,204,2852,3198,734,0
423,-376,-205,-2598,1745,1545,79,394,988,977,475,2457,1712,3058,91,-725,45,62,1904,-742,1
2137,151,1714,-2002,811,-676,863,79,-2989,3216,-1052,-302,-1946,283,217,921,421,-168,1016,894,0
7,317,1478,1724,892,52,783,2051,-552,-708,942,673,-912,536,-597,-1234,-432,-56,1765,1243,1
-3494,-1665,-1192,-4619,643,18,-1944,-1979,1227,-2269,-2027,-1802,-2814,2181,949,-2005,-407,522,1527,-288,0
91,1279,-1829,-716,5993,1582,-47,2312,2495,-402,1714,-2828,-283,-3926,2157,-1567,-653,-3562,1521,-2672,0
-466,305,689,-403,-3628,-185,-629,-2584,976,115,222,-245,646,531,-528,1863,982,1684,102,-2284,0
342,2711,274,386,935,75,-161,2,-839,322,1031,409,1293,1073,17,1124,-638,-85,1688,1511,1
-2337,-772,1052,-512,3026,2746,2004,-1267,-686,-2138,92,-556,916,-894,2191,-2667,1224,551,-635,428,0
2088,98,2083,294,854,2774,811,-4182,308,-237,-2576,-3113,3023,2928,-685,-924,-1354,1917,-1878,2899,0
142,-336,-2004,967,24,-1389,3447,-804,1042,-3509,905,-778,-522,-2452,2485,1425,-1725,-2137,-76,-2185,0
1484,-12,-3614,-2102,-3626,2175,-1926,415,-549,-1549,-2804,1842,3112,319,-3579,3636,-562,2854,-16,238,0
426,-2925,848,1064,474,1237,2037,-3595,148,-1306,2462,-7114,2213,-331,1271,-1198,263,-926,1317,93,0
1398,973,335,-556,-103,-648,-278,3219,-254,154,763,131,-27,16,-99,92,-489,-616,1702,927,1
-3419,739,-868,-317,2694,2859,-2099,3484,193,2767,1884,456,2593,3747,344,954,-65,2148,-691,464,0
-2209,-226,2279,2097,275,-1353,425,-1293,-244,-2083,3442,883,2408,398,2648,-2866,156,1506,-2404,-2923,0
54,416,334,1346,-63,886,1753,-1323,-761,-1058,-257,963,-658,13,-534,393,-284,1944,98,891,1
679,-135,422,337,37,-308,-2092,1898,151,-564,-107,726,989,1939,141,-143,485,56,-632,747,1
68,1803,1544,1876,32,-518,-1159,2241,649,82,469,552,-426,1796,1483,478,794,-1228,264,-42,1
806,1923,-308,-1169,632,159,2193,965,-784,1153,1683,1267,-2047,-13,832,-469,1869,606,963,266,1
-97,637,-82,-1562,-1207,-949,-1864,-1195,226,-435,101,1531,1117,-238,-686,407,73,347,-282,1241,1
2357,-1254,284,2288,2,1768,111,3015,1349,-169,846,-342,-1667,-548,-284,-474,228,403,-664,2302,1
-1034,152,-581,-741,2522,708,-126,-1003,3104,488,-1206,-83,-944,2225,2499,837,182,-158,1582,1342,1
1804,1554,-1468,-1885,494,-2132,1236,-204,2021,637,1727,-1583,2378,-1322,1564,1923,-1559,-137,-4012,-3,0
-1274,3018,2761,-88,-311,-7,4437,-3201,1922,-937,-2132,-1867,-2884,6031,-98,-631,876,962,1811,-1274,0
375,-684,-4056,3495,2854,-111,-827,2158,-2025,-33,-3042,-352,4013,-4945,-335,-3132,-118,-211,2695,-1,0
2026,-616,774,148,264,273,-411,417,-4264,-1621,3369,493,-1165,-365,661,137,454,136,-715,-1167,0
-885,-1125,-1304,163,837,1765,961,779,524,725,-78,-1036,1935,894,985,84,-1081,899,462,192,1
744,-698,637,267,611,81,161,-4,1139,1207,-241,-9,-259,1593,239,472,222,328,-68,16,1
1806,156,622,-5,791,-267,1885,-136,43,168,414,1132,-411,855,-308,2206,543,2049,395,2144,1
1839,48,771,2389,704,-801,415,-904,-89,226,813,1243,-351,1502,-9,-346,1623,-366,1272,579,1
972,69,2,779,3,649,328,18,208,597,-899,-1448,483,-241,983,217,3245,42,2208,806,1
-612,54,-1288,178,475,-223,-481,2006,1287,-229,431,1686,1538,-2012,1595,149,-347,-4,-55,-77,1
214,861,3448,1411,-113,2043,702,658,-522,1055,1298,-9,-47,395,113,113,-344,145,274,418,1
-908,2991,1659,126,662,809,128,-346,1579,-523,1696,333,367,-1633,351,-192,1079,361,1726,1244,1
2177,135,89,-105,-33,12,473,812,-1302,1221,2748,381,686,103,-182,-866,322,1629,-1143,1183,1
2526,-864,45,265,2064,548,-808,707,256,312,-3,-821,1377,-1412,-482,1285,545,343,512,-1152,1
512,1486,154,796,2184,122,589,164,1807,1442,1151,642,944,-616,2,233,883,-203,-34,1837,1
1384,327,776,48,54,591,13,16,-306,1355,-663,769,-1205,-704,643,-89,-1598,619,2033,2131,1
256,161,2264,-2462,-596,2128,-313,503,-515,2383,829,1745,-1586,32,-45,3184,-1763,209,159,-1838,0
1572,1476,1024,-796,-847,-5343,576,973,3937,1534,1438,-143,1037,-224,1789,-1698,1406,1175,-2927,345,0
3008,1339,2423,-1582,-2321,-439,2614,-2864,308,2356,-811,1395,1294,-174,2809,-1194,-298,-1816,-158,2227,0
164,824,-615,-79,-301,1242,-162,-18,-43,-58,758,2614,-141,6,-186,94,-233,1314,695,-809,1
129,469,3008,-25,512,4696,-12,-56,516,-2215,2482,-257,-2688,-1383,3098,-409,3004,-263,252,1175,0
-923,2032,1729,1201,101,579,-584,-1557,68,22,679,859,-5,696,-675,-217,-1242,2498,522,-1117,1
418,2328,-984,534,1211,1414,1353,2834,1116,-478,1301,-11,23,1439,-1619,789,-316,1621,1474,-1188,1
-83,1896,-1502,2705,-1089,2896,608,-656,-732,1076,776,3898,934,384,1054,1168,1695,367,-3,-1812,0
2232,925,872,-603,-188,-204,24,73,974,2138,1364,-917,-212,73,-737,854,172,27,281,3,1
2028,1037,-1147,513,42,418,-707,-77,431,-1162,1652,982,139,1258,372,2223,-949,-111,3198,-13,1
-1472,746,-2628,-12,632,373,134,525,-487,946,814,-1363,1107,-123,-1191,-1315,2329,-2304,-2791,1233,0
148,2123,308,162,123,-1492,298,1914,-57,-1648,222,-84,-43,124,1266,747,1797,1106,803,-354,1
118,-135,-62,-994,1643,143,292,-754,-443,-735,-56,3046,2475,2966,-99,318,-1358,72,-2556,3876,0
276,-1626,1994,-553,234,1164,-3076,-513,-523,286,-1087,-1561,-1093,-1636,392,327,-3312,678,68,179,0
-397,396,-9,446,-287,659,3923,-1099,1238,2551,2458,1083,1393,127,-962,-88,-403,1258,575,-137,0
2904,-938,1429,1627,-1215,-647,781,2265,13,-4254,-1461,-244,-332,1708,-305,1707,-1439,-656,1732,1158,0
294,509,1665,1069,-269,1407,1337,-214,-193,818,1328,366,1243,-1056,692,1974,-822,1281,96,-279,1
1021,-19,-63,79,472,-938,392,221,1035,-302,2924,639,459,1381,687,-563,1578,1047,2057,852,1
-31,-842,-929,158,-1565,-466,605,1911,-684,-202,73,-3103,-567,1202,-1416,1213,2648,27,-2162,1375,0
-1298,2315,884,598,-25,85,577,579,566,1792,1336,1579,486,-118,394,98,2343,997,314,1711,1
904,-1282,182,187,1831,-16,-672,342,1222,1312,411,1733,273,495,-996,959,-401,1563,-131,1924,1
-1446,952,-2073,-502,-1107,1121,2082,-141,-2694,326,4854,-1054,-147,-1073,274,-2386,-3682,821,1294,-3296,0
-23,258,895,-2334,71,237,231,1036,2624,-2619,69,1456,-2672,-1214,814,3408,-861,-1446,-225,-845,0
-6,-712,-2104,-586,-945,884,1315,1161,1219,-243,1354,1452,11,815,1099,1273,-377,-278,1789,-271,1
-939,-1709,-2836,-123,2494,-1019,229,-861,1129,-682,1751,-2384,-822,558,-2164,-3475,705,-2993,-582,-1982,0
-1072,-1374,-1606,166,-193,304,1253,-182,366,-389,113,1057,864,552,493,-234,-67,-1348,145,291,1
-481,1073,-316,-236,1173,-55,-1899,782,1083,1007,-33,214,1832,1816,689,851,1914,-353,-993,2304,1
2199,-95,-3441,2916,1707,1483,-898,2124,-409,-232,2322,-455,-1634,-1052,-1566,-4264,-124,-386,161,-3491,0
876,994,1213,208,-228,3687,155,-1884,-3078,201,1405,-2949,616,-863,3274,933,-2684,-244,3063,-1516,0
837,-792,503,176,622,705,857,1169,412,931,1553,925,-169,201,1465,204,-925,72,-737,602,1
1646,437,1298,1826,1251,-247,-2443,309,1708,346,1338,-2901,1609,-3071,-1616,1423,1474,1672,725,121,0
-559,1246,-2724,-4604,-1142,-14,-1127,2278,-29,2347,-2032,-832,888,3295,-1806,-232,-1438,-68,-216,3437,0
-466,969,253,-1716,-216,286,1828,1487,17,-1394,13,-592,477,531,122,28,1237,1135,1037,148,1
493,628,1625,-179,114,1274,827,-202,-802,39,-181,-204,268,282,-158,1323,1038,173,151,236,1
572,1631,1102,208,-79,-1349,1374,-1299,833,312,-1163,-552,814,68,605,-45,786,1158,96,265,1
445,967,901,-587,-889,4,1092,1415,-1461,511,-294,11,-459,-1406,1531,-58,656,-811,782,281,1
-3241,-778,-2684,77,-1552,-2547,-554,1856,-1417,389,68,2065,459,-2044,-758,-686,2138,1015,2123,-203,0
-394,494,866,-79,-333,3605,1328,-1155,-823,-772,522,1702,2079,18,394,1287,-611,1774,175,279,1
2425,1591,1408,3156,-1376,964,-225,229,748,589,-172,-1023,-1115,1598,-2017,486,1007,2846,3327,4085,0
134,2444,-563,-312,657,4404,31,-2036,-222,67,2629,1306,893,-3869,114,2542,-2263,-1972,151,996,0
1862,-1271,-2907,-4926,1113,-165,1403,896,-2007,1265,2844,146,-1453,2334,-1229,1742,-566,101,699,-2294,0
-483,-387,-171,277,148,1575,102,-177,-1046,1404,1054,-823,192,-121,241,-659,255,1467,-71,1016,1
415,647,15,-492,1576,-1444,1043,-335,-15,1138,29,1172,427,1832,128,1499,95,66,422,1167,1
879,391,1356,1245,536,1511,553,1867,-45,963,-1286,1668,67,-162,1481,-1512,1458,78,-1082,983,1
-5483,-178,-5047,-512,1188,2615,-355,-2903,4222,1143,-74,-1222,1572,-259,-642,2568,2621,136,1948,1564,0
-223,1036,759,1668,147,308,2522,1723,1065,87,-776,156,2296,1631,-228,254,707,1184,57,2178,1
57,1881,-1432,-429,302,-446,-868,563,523,-185,155,46,15,-313,658,-795,775,1383,231,-1634,1
609,-2868,272,973,-18,648,-46,2799,-2766,3265,-2667,-333,-78,1542,1407,1651,-385,262,-176,68,0
-149,-586,-388,2118,108,1682,-41,1815,1352,1274,1418,85,689,1638,672,-95,735,-307,502,1018,1
-308,-816,-995,1332,-1421,1494,1222,513,-125,43,-1041,386,3066,457,1064,588,1359,2348,88,-75,1
1195,1202,1006,1865,-1059,-97,-532,-25,359,-418,212,-904,2161,369,703,-34,469,326,425,1103,1
2225,1184,-34,-3674,-567,-477,-1283,2381,1559,94,286,15,-2112,1593,-668,-203,-2466,922,-913,1138,0
1089,71,356,-186,-187,16,-158,112,-46,1583,-534,-101,-678,-244,1413,-1931,751,-514,723,2,1
-1,2217,-1283,3801,-1577,996,1062,1497,-223,3167,2884,-476,-293,-542,1726,-847,-644,-4774,19,-2578,0
-254,2,32,1348,821,1832,111,684,93,22,976,426,802,-487,94,394,-754,1072,2299,1083,1
2148,1242,541,556,-232,223,451,-752,685,-119,1044,424,-411,1582,975,842,1462,-916,-446,-124,1
875,1311,-1238,-192,1848,-3407,214,4222,596,-52,-152,1415,-257,-3152,-4477,-511,719,-917,1774,38,0
167,-1024,899,592,895,-184,172,1591,216,-1654,1198,1679,566,136,-1482,518,-52,78,278,722,1
1683,-1609,2035,213,278,-1049,-2047,1994,2924,273,-16,-1114,-2113,2805,866,-84,-622,3372,-172,1691,0
-383,2601,3358,-94,-2545,3595,-59,-246,1686,1829,209,1377,799,528,-526,-904,19,1354,-148,-216,0
46,-832,-5709,586,989,-234,503,-131,-11,1628,-654,146,58,-1048,-3599,596,-36,323,995,-2032,0
-606,-398,-1027,-1104,1096,65,-356,1676,714,82,57,106,1866,3198,-2097,-2918,3962,-3948,-1267,-3116,0
-5,2341,-1,157,237,-423,-736,-764,69,626,-746,1825,-302,-62,569,304,-1101,-1652,437,-1234,1
-379,-3072,-2174,265,2312,-376,-224,221,-808,2145,232,-734,-478,-48,1016,-841,1913,2026,-638,5334,0
1618,-382,-1112,-206,673,716,-365,55,2296,-455,-316,489,-96,-68,16,-38,595,2563,377,2593,1
791,-203,109,1507,-608,56,405,-68,1337,429,-1059,-1054,2185,86,1076,642,-372,1094,1992,-1114,1
-603,-1145,-844,-1236,704,2942,1236,-2758,1312,1168,-1811,-1606,741,-1948,1495,158,2162,-1458,415,-152,0
-296,-1248,-46,1227,1181,1407,1282,915,608,247,334,991,-678,1021,-54,341,-849,134,-984,-1362,1
-25,-826,-141,898,363,-866,-9,386,-92,969,505,996,-687,101,1263,-1023,-29,416,672,527,1
-2542,1798,1636,1466,346,1625,-2639,-2141,1341,-243,-493,3021,1947,-2347,1041,-5,403,-4036,-1291,-619,0
341,1551,-739,1136,1139,1732,599,713,-273,-75,1058,-886,-989,21,79,-14,553,-792,48,-318,1
-91,1397,2065,2749,1312,-3488,-1347,553,4032,1958,-1434,-255,-3582,486,-213,-1293,4072,-109,-3129,-422,0
-2537,275,2764,-1531,1031,256,979,-724,4209,-431,3205,234,2664,-2535,676,-462,904,1375,-2253,632,0
803,-187,1264,894,-2647,765,508,1856,-544,2053,437,273,99,-386,-464,226,1446,195,704,14,1
3293,-3788,-1472,-3361,555,3757,-4155,1001,4143,1202,-2447,2218,1984,305,202,1707,2129,-1033,-2828,1302,0
1873,1327,-54,-2169,-1399,1085,-866,192,-218,-204,765,611,1107,1646,658,558,734,2672,-37,629,1
-601,-734,279,-5,-85,-1068,406,158,129,245,173,-458,1004,1124,335,886,-709,1889,294,1369,1
-2187,-527,3072,414,2543,1282,1621,-1312,-728,-448,244,2054,274,-854,1908,-1105,463,-1905,-981,-922,0
429,-713,1422,214,1715,1408,-28,174,656,1638,-1018,-209,138,-1315,-365,-146,1805,2622,-544,768,1
41,1485,1319,2426,-1264,-486,544,-607,-526,1416,-458,-233,924,-986,1587,334,-68,-881,366,1376,1
1613,738,2622,-452,1306,1019,1043,1758,1834,16,1543,36,-177,72,-337,374,-745,806,-442,-1061,1
-221,-1331,334,1996,-543,1004,-541,1798,1265,1423,752,-1341,1034,1361,451,-22,753,426,161,-79,1
-1482,33,-517,626,1191,21,-778,-1036,-1627,1201,2673,-614,266,-678,99,709,-736,609,1293,-101,1
-66,-414,141,1075,788,1241,1002,207,-398,-404,-459,1714,112,1989,1769,115,-196,343,72,-625,1
-1004,175,2222,1743,1392,135,136,-72,-22,-466,868,2748,984,1287,192,-521,145,753,1659,-1,1
-218,207,-2856,-2981,-494,-682,2347,871,-577,2904,-507,4116,66,139,3657,-1112,-2101,-2588,1504,1093,0
-2196,-1966,-2,-454,-1934,-2159,-589,-85,3473,-804,-236,-2185,-3542,1226,-64,-606,-3323,155,-731,1921,0
191,-455,-4042,-2571,4223,-2445,-585,-1623,4353,-1325,2354,-67,201,26,-2366,2517,991,2061,-1621,-276,0
-777,1707,-891,2197,-1269,-221,-1585,2067,-3326,-76,642,439,2414,-1768,188,-2046,2295,-1212,-118,-4889,0
-305,1266,1198,958,416,-172,165,2177,2241,-426,-1,-193,-2115,104,564,-111,249,86,1092,-418,1
568,4,1551,645,81,-447,449,-525,-243,887,104,2032,44,1712,-62,1241,2527,149,1402,756,1
99,-215,2419,961,518,-3075,898,-2885,-1075,-2874,2373,-2378,-78,-119,2831,-1629,-288,-156,1596,1846,0
1566,-2481,-96,-1033,427,5,2827,-2848,-1111,-2081,3898,-1578,-266,-565,2311,-688,-3268,3573,-1553,929,0
-2287,-86,-1827,-4447,-3971,-376,-586,1328,579,-1633,-204,-154,-271,3,962,-2077,3314,113,-2783,-3456,0
194,905,-622,19,-1418,256,909,1375,424,263,-45,1122,317,657,61,3564,-548,121,2467,-158,1
-3732,-1084,986,141,29,-954,-759,257,-4923,13,1223,-76,-1539,-1076,6672,-1426,174,1143,1539,-153,0
-22,1084,719,261,-185,13,-1826,52,1926,1451,1061,4,888,1816,1905,691,2229,17,129,2542,1
-1516,787,-2748,874,-234,-76,-112,-2097,-27,845,-3091,236,2919,-2042,-259,-1547,-328,1944,-1561,-768,0
605,-1038,-1528,2453,-1125,-1853,2692,-1153,281,-619,251,143,969,-3168,-1585,-1164,-1473,2076,-2808,1445,0
6,-1146,-1103,455,1761,826,927,6,708,944,1126,-193,1349,-7,81,124,-1247,1252,-915,78,1
-1498,-1356,1083,946,937,2704,2413,1316,2637,-1222,1592,-155,73,1022,1148,137,889,-1341,173,-511,1
-4814,-1045,674,1852,4066,-1794,-531,-121,772,2381,1565,-2012,1843,1574,-442,1844,-2979,1967,1542,1948,0
547,2814,2299,-356,469,2838,-121,-2599,22,-2192,-596,-18,1026,2316,1414,2734,709,322,-2163,1791,0
-74,-178,-236,18,-736,549,-3261,-2523,329,3019,-758,2125,727,-2237,-1423,-78,-2905,1083,29,424,0
-288,-1714,-1166,-629,888,-2356,2826,2705,986,1013,-1348,1078,-2898,107,1799,-949,4072,-3946,-1395,-263,0
-99,1732,-1467,-205,-586,1151,-151,-999,19,2291,1163,109,431,6,-1466,1934,-646,1243,-53,535,1
177,-694,1898,2008,2523,1272,-2096,885,-1083,-1595,-501,2892,-323,108,685,869,-237,-233,2441,-1128,0
-449,-185,-6,-844,1291,-521,-55,2028,844,69,-1002,3334,585,699,-2255,-1739,1688,1305,2318,-233,1
1109,-2635,-3101,-603,-4381,-125,-76,12,-1456,28,707,842,-141,-2525,-224,-1951,1132,-3108,1759,-459,0
238,-1034,-1852,1312,1054,3118,-2214,-2471,-493,2683,-1811,6352,-4732,497,-565,946,-384,1392,-1454,4988,0
-36,-902,1998,-1694,2674,244,-888,1402,508,-3289,-1104,3741,-138,2739,-2007,-357,875,194,772,816,0
-51,344,1265,-233,29,589,124,944,393,-535,893,124,1009,933,827,898,2043,-18,-396,586,1
876,-639,3825,3651,-3092,679,-91,-2642,-1427,-1076,889,1132,1336,-1659,-1002,2311,2178,-2656,1013,-5382,0
943,-784,535,474,-977,-76,85,-1362,-392,1617,726,665,-1401,2435,446,-514,-499,811,238,-1104,1
-297,1348,142,-409,-1657,-1164,322,1441,-759,-495,1067,631,555,184,674,-1402,757,1117,-709,-24,1
-738,3953,703,1244,1794,-1552,354,456,-3175,119,168,-63,-2702,-134,-1623,1854,-4662,-3176,-1346,282,0
77,-4037,502,-3373,2503,-347,2038,-362,-1099,1127,2543,-605,-1313,3823,-774,1382,-4549,-205,-3008,-459,0
-128,1096,-35,1353,1158,4,-454,1094,918,-1155,1578,658,-68,1944,63,2012,301,-88,188,-992,1
1904,1148,-932,2076,-38,316,1494,-979,16,-586,-839,-1263,1062,448,-208,1121,518,-514,-1548,-46,1
1027,91,-919,1035,1735,209,-451,1503,235,594,1075,84,-398,-213,476,-682,281,1252,-592,52,1
-4605,-978,-599,-22,-2606,-2955,-67,665,351,25,-3073,-2005,-4968,-1031,602,1222,3732,3237,-3698,649,0
126,1367,-63,-395,1497,279,976,571,24,663,14,-46,-969,-146,-935,1068,-417,-182,863,431,1
-2964,968,-2794,287,2352,1088,914,4068,2324,-995,-2328,1963,-156,-1593,-159,-2363,223,-2103,671,-23,0
4043,-454,-154,-144,-237,-74,361,508,-13,-1644,-1196,912,-99,709,365,-1724,-1901,-265,582,741,0
302,-763,445,1709,312,1278,144,-218,-1019,-789,9,161,1317,148,1208,734,-603,-1263,139,-2318,1
-3313,134,-19,-1473,-13,-1411,935,-98,1882,2207,1313,761,-1957,-986,1734,3562,2673,-562,-824,-1995,0
-627,-414,474,-2398,3513,-591,122,-135,-2245,1246,-545,1044,-1251,1085,1018,-326,-869,488,1086,-464,1
-1683,2548,-259,-2657,117,1265,-2505,-1309,-3031,2296,-35,-2555,-2802,735,1267,1856,1629,2906,-403,3902,0
-16,5,1655,-69,-2736,663,-233,2312,1135,-335,-44,105,338,-6069,653,53,2048,-445,1123,-129,0
33,2046,2631,-3562,2052,-1199,-1098,-1122,278,1949,-2677,505,-2901,-2497,1931,246,-439,501,-3939,1175,0
-121,1202,1918,738,141,-1046,841,1382,1091,232,-406,126,64,1349,238,-44,-601,1194,-705,936,1
448,-145,1914,241,6,-1208,1717,204,188,908,1263,221,-249,-844,1264,-783,1536,705,298,657,1
2009,-1057,1468,1059,1942,1211,1308,814,414,668,-444,1471,449,-488,1248,924,696,1553,2166,1242,1
-148,948,546,1811,-981,521,1421,-283,982,1325,19,-184,116,211,1312,39,11,241,985,421,1
8,2427,229,-811,119,247,1068,1367,2486,-4,-237,882,-502,2575,27,1078,1053,145,6,-419,1
535,1022,-3667,834,264,2985,5,-1104,-228,-119,417,204,537,716,-714,1204,1837,-1203,-2591,157,0
-243,87,-839,858,4268,-626,-1501,4481,153,24,13,-3022,19,278,-105,336,-395,-814,28,1497,0
2378,-142,1258,1326,-1179,5199,2513,349,-318,-964,-974,-2409,2877,-834,499,-2444,-972,1191,-123,968,0
-1722,-805,-2541,1963,954,-347,-2218,-4631,92,-782,-49,-918,-2332,716,-191,1448,915,2086,-382,-1476,0
776,-492,94,-2079,-981,-285,2059,2271,33,-4087,-758,892,309,-695,-2014,-49,-3283,-4841,-684,1002,0
229,2215,3768,2426,305,-167,133,-3953,1878,615,-673,-207,51,366,-3797,1591,636,675,632,466,0
2408,-2824,2052,1616,-2306,1128,-646,-3776,-1878,-978,-817,-4001,-2306,-2612,-1447,72,-3546,3563,-3132,869,0
1095,1657,1172,2172,1542,174,-737,681,-585,-392,-1,-89,-543,1663,1448,-1047,779,-318,-233,-517,1
-107,-2363,-1131,-1182,2935,-1066,258,-2283,617,-2376,2305,541,-238,623,-1152,1363,2928,572,-1533,698,0
-407,28,1925,2135,-3761,386,-3255,-1772,-2546,-274,1664,693,-44,1503,-1642,-1638,-1,-804,-1628,1173,0
15,-1121,346,1195,37,2035,1038,-443,-396,1021,1194,-1374,836,814,-67,256,-2,2259,2612,-402,1
-987,-875,-1411,711,1628,1601,-721,-23,328,648,925,154,179,359,9,-836,-467,231,211,475,1
658,-305,712,1012,-805,1697,753,-1007,-454,973,267,488,823,-319,-633,1642,1802,-742,133,2879,1
59,1552,836,-1087,606,1219,1052,-56,-116,869,-396,223,279,1055,-92,846,17,496,632,32,1
1483,-369,713,-26,1166,1576,-1161,2997,933,-1896,1175,1999,1737,1456,113,2726,-831,1891,2067,555,1
1539,783,-552,952,-195,225,1151,4,-211,-457,388,-301,718,39,482,156,408,1586,-56,285,1
868,769,-1674,4959,992,-4662,-2037,1157,-53,129,3664,3654,-2142,-359,-1229,-593,1388,-4665,-1,1417,0
2414,-808,-686,205,1343,-1606,1474,-1192,-14,1325,2008,592,-379,-788,347,1804,521,-756,795,-1264,1
99,-88,-3133,-1076,-3957,-622,221,77,1714,1563,-5222,795,-482,4809,-301,1082,-2072,2744,3448,424,0
846,1151,2101,1994,-193,-363,3272,-2244,2483,2227,2057,1459,-34,66,277,-141,-259,1289,-1702,2566,0
457,1776,2055,4721,-112,2554,2473,-4315,-3913,-3699,1635,-3004,497,5626,-762,3317,-77,1197,-1498,1243,0
-239,953,7,46,-168,-1978,-266,-1302,449,-1305,-429,-2064,1683,-852,-865,239,848,268,-1398,-1219,0
783,26,-465,-233,912,1697,438,2338,-238,-623,1016,1365,-741,2094,198,1036,2177,1189,1814,-572,1
