"X1","X2","X3","X4","X5","X6","X7","X8","Y"
10,75,82,0,0,33.3,0.263,38,0
4,128,70,0,0,34.3,0.303,24,0
8,100,76,0,0,38.7,0.19,42,0
0,101,62,0,0,21.9,0.336,25,0
0,140,65,26,130,42.6,0.431,24,1
1,133,102,28,140,32.8,0.234,45,1
4,156,75,0,0,48.3,0.238,32,1
1,108,60,46,178,35.5,0.415,24,0
1,107,72,30,82,30.8,0.821,24,0
7,106,92,18,0,22.7,0.235,48,0
2,99,52,15,94,24.6,0.637,21,0
4,112,78,40,0,39.4,0.236,38,0
8,84,74,31,0,38.3,0.457,39,0
2,92,62,28,0,31.6,0.13,24,0
5,117,86,30,105,39.1,0.251,42,0
4,94,65,22,0,24.7,0.148,21,0
2,121,70,32,95,39.1,0.886,23,0
2,84,0,0,0,0,0.304,21,0
0,94,0,0,0,0,0.256,25,0
1,103,30,38,83,43.3,0.183,33,0
4,97,60,23,0,28.2,0.443,22,0
3,84,72,32,0,37.2,0.267,28,0
9,164,78,0,0,32.8,0.148,45,1
9,170,74,31,0,44,0.403,43,1
1,196,76,36,249,36.5,0.875,29,1
3,89,74,16,85,30.4,0.551,38,0
7,94,64,25,79,33.3,0.738,41,0
1,118,58,36,94,33.3,0.261,23,0
3,78,70,0,0,32.5,0.27,39,0
5,122,86,0,0,34.7,0.29,33,0
0,99,0,0,0,25,0.253,22,0
5,139,64,35,140,28.6,0.411,26,0
4,127,88,11,155,34.5,0.598,28,0
3,78,50,32,88,31,0.248,26,1
11,143,94,33,146,36.6,0.254,51,1
6,102,82,0,0,30.8,0.18,36,1
5,85,74,22,0,29,1.224,32,1
5,139,80,35,160,31.6,0.361,25,1
11,111,84,40,0,46.8,0.925,45,1
8,181,68,36,495,30.1,0.615,60,1
7,124,70,33,215,25.5,0.161,37,0
0,141,84,26,0,32.4,0.433,22,0
8,95,72,0,0,36.8,0.485,57,0
1,116,70,28,0,27.4,0.204,21,0
6,105,80,28,0,32.5,0.878,26,0
4,114,64,0,0,28.9,0.126,24,0
3,126,88,41,235,39.3,0.704,27,0
13,153,88,37,140,40.6,1.174,39,0
9,134,74,33,60,25.9,0.46,81,0
10,129,76,28,122,35.9,0.28,39,0
2,56,56,28,45,24.2,0.332,22,0
2,88,58,26,16,28.4,0.766,22,0
3,171,72,33,135,33.3,0.199,24,1
7,142,90,24,480,30.4,0.128,43,1
4,132,0,0,0,32.9,0.302,23,1
9,156,86,28,155,34.3,1.189,42,1
2,82,52,22,115,28.5,1.699,25,0
2,101,58,35,90,21.8,0.155,22,0
2,90,60,0,0,23.5,0.191,25,0
8,118,72,19,0,23.1,1.476,46,0
0,126,86,27,120,27.4,0.515,21,0
10,94,72,18,0,23.1,0.595,56,0
3,128,78,0,0,21.1,0.268,55,0
1,107,68,19,0,26.5,0.165,24,0
10,108,66,0,0,32.4,0.272,42,1
7,97,76,32,91,40.9,0.871,32,1
8,109,76,39,114,27.9,0.64,31,1
1,149,68,29,127,29.3,0.349,42,1
0,180,90,26,90,36.5,0.314,35,1
5,112,66,0,0,37.8,0.261,41,1
1,147,94,41,0,49.3,0.358,27,1
1,88,78,29,76,32,0.365,29,0
2,94,76,18,66,31.6,0.649,23,0
3,180,64,25,70,34,0.271,26,0
2,100,64,23,0,29.7,0.368,21,0
4,117,64,27,120,33.2,0.23,24,0
5,78,48,0,0,33.7,0.654,25,0
0,97,64,36,100,36.8,0.6,25,0
1,140,74,26,180,24.1,0.828,23,0
1,86,66,52,65,41.3,0.917,29,0
4,83,86,19,0,29.3,0.317,34,0
1,95,66,13,38,19.6,0.334,25,0
