SepalLength, SepalWidth, PetalLength, PetalWidth,Class
5.1, 2.5, 3.0, 1.1, Iris-versicolor
7.245328207161587, 2.8, 4.012444659907475, 1.3, Iris-versicolor
6.3, 2.9, 3.0454808144004737, 1.8, Iris-virginica
6.670493199669405, 3.6, 6.1, 2.5, Iris-virginica
4.716314081758334, 2.5, 5.0, 1.9717833489812406, Iris-virginica
7.2, 3.0, 5.8, 1.6, Iris-virginica
7.4, 2.8, 6.1, 1.9, Iris-virginica
7.9, 3.8, 6.4, 2.0, Iris-virginica
5.8, 2.7, 5.1, 1.6060857655261844, Iris-virginica
5.658751924279787, 3.0, 5.2, 2.3, Iris-virginica
6.3, 2.0525173675391164, 5.0, 1.9, Iris-virginica
4.9, 3.271224334573193, 1.5, 0.1, Iris-setosa
6.927712356259049, 3.5, 3.399278945359234, 2.0008587517544765, Iris-setosa
6.5, 2.8, 4.6, 1.5, Iris-versicolor
7.7, 2.6, 6.9, 0.4140922452123119, Iris-virginica
