"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","Y"
2907,"48","89","8","67","48","33","43","0","0","12","6","66","41","100","100","88","1"
2960,"100","100","53","98","28","77","34","57","79","53","76","24","39","4","0","0","1"
2967,"30","86","46","59","52","18","9","0","0","30","11","74","52","94","100","100","1"
2993,"1","97","68","98","39","100","21","63","55","50","100","25","46","0","0","19","1"
3008,"18","93","94","100","100","100","20","94","3","64","77","50","77","11","0","0","1"
3034,"18","89","30","62","82","47","73","0","20","11","0","65","43","96","100","100","1"
3050,"46","92","77","100","100","97","56","90","50","55","81","33","41","12","0","0","1"
3076,"60","92","100","100","64","98","32","72","66","60","76","29","40","7","0","0","1"
3085,"21","80","29","47","85","44","62","0","20","19","0","67","37","100","100","98","1"
3091,"10","82","15","51","70","36","54","0","20","28","0","73","42","91","100","100","1"
3102,"22","100","1","52","63","67","62","21","0","0","4","59","28","96","100","97","1"
3104,"35","93","94","100","100","94","44","82","47","48","98","31","58","6","0","0","1"
3148,"4","88","19","58","59","31","24","0","6","35","0","76","44","98","100","100","1"
3182,"99","100","66","100","18","94","30","57","86","49","100","15","48","0","0","12","1"
3187,"2","64","31","33","47","3","0","0","3","39","8","74","54","89","100","100","1"
3204,"72","94","25","100","26","71","25","36","72","44","100","18","55","0","0","2","1"
3210,"35","90","43","61","62","25","21","0","0","19","17","59","46","93","100","100","1"
3216,"100","96","42","100","8","76","0","43","55","42","92","20","62","0","6","8","1"
3218,"6","100","61","91","38","95","6","67","54","49","100","23","52","0","0","18","1"
3220,"0","79","6","64","41","51","84","21","23","0","16","51","25","100","100","94","1"
3229,"50","92","100","100","51","96","22","60","43","42","86","31","49","0","0","0","1"
3240,"36","82","32","63","67","33","37","0","0","12","26","54","50","94","100","100","1"
3241,"16","89","76","100","100","100","32","90","22","62","81","41","67","3","0","0","1"
3251,"48","89","100","100","62","92","23","66","58","55","92","36","51","13","0","0","1"
3253,"100","100","38","87","2","62","48","51","94","28","70","0","0","4","2","28","1"
3257,"45","88","28","66","60","31","33","0","0","15","25","57","56","91","100","100","1"
3266,"100","100","54","99","16","79","0","51","48","51","76","27","47","1","1","0","1"
3283,"4","85","18","63","74","47","47","0","9","16","0","70","34","95","100","100","1"
3286,"10","89","32","98","36","100","0","68","31","49","100","29","60","0","1","15","1"
3291,"35","92","21","64","66","36","37","0","0","15","10","69","46","100","100","100","1"
3311,"0","93","11","57","69","38","42","0","4","14","5","61","35","94","100","100","1"
3317,"21","89","0","68","50","37","49","0","7","15","3","68","39","99","100","100","1"
3321,"55","94","9","78","56","57","60","4","0","0","4","43","40","93","100","100","1"
3343,"34","89","96","100","93","99","24","86","60","72","100","46","63","16","0","0","1"
3345,"7","71","38","49","70","20","25","0","1","34","0","69","33","100","100","97","1"
3357,"18","85","41","46","37","1","3","0","0","47","7","91","53","97","100","100","1"
3384,"27","100","30","67","95","44","66","0","11","12","0","62","22","97","100","99","1"
3406,"57","89","100","98","70","100","33","78","37","47","77","34","45","7","0","0","1"
3411,"100","95","55","100","13","88","4","62","46","47","70","20","39","0","0","10","1"
3424,"33","79","83","99","100","100","47","84","0","62","22","38","53","14","1","0","1"
3436,"40","88","100","100","38","91","0","64","41","52","96","38","62","11","0","0","1"
3450,"37","78","15","58","49","25","18","0","0","30","1","72","49","89","100","100","1"
3471,"31","100","0","58","74","45","57","2","10","0","6","46","17","90","100","97","1"
3476,"29","88","90","100","69","95","12","74","35","58","100","47","64","17","0","0","1"
3478,"10","87","17","58","88","50","86","0","17","6","0","58","21","92","100","100","1"
3485,"88","89","46","100","13","76","23","43","76","50","100","21","55","0","0","6","1"
3511,"22","100","25","63","54","26","22","0","0","37","2","82","49","96","100","95","1"
3523,"100","100","67","98","41","80","44","50","78","42","68","16","35","2","0","0","1"
3527,"32","92","24","47","71","36","38","0","0","0","21","48","49","92","100","100","1"
3537,"26","98","24","49","45","13","17","0","0","35","26","72","62","91","100","100","1"
3544,"42","98","22","72","75","51","62","0","0","6","23","57","43","100","100","99","1"
3555,"24","96","34","62","72","36","37","0","15","40","0","89","50","99","100","100","1"
3556,"31","97","100","100","25","94","12","62","48","62","94","33","60","0","0","5","1"
3557,"57","94","100","100","48","82","24","48","71","64","85","31","54","0","0","1","1"
3560,"11","98","0","55","52","36","45","0","17","22","11","72","42","100","100","99","1"
3578,"22","95","97","100","100","98","18","95","32","70","100","47","72","0","0","16","1"
3582,"48","84","99","100","100","94","53","74","48","44","90","26","55","0","0","1","1"
3587,"20","82","71","100","100","96","41","87","10","71","62","48","54","0","0","0","1"
3609,"100","92","65","100","46","85","49","58","77","42","67","18","35","6","0","0","1"
3610,"16","96","94","100","28","96","4","68","35","51","100","35","65","0","0","14","1"
3611,"55","96","99","100","52","86","61","58","96","35","100","6","51","0","0","2","1"
3631,"8","91","12","53","59","36","26","0","5","32","0","79","42","98","100","100","1"
3655,"6","100","1","53","61","48","44","0","5","16","0","70","41","98","100","97","1"
3660,"36","93","12","61","87","55","79","16","11","0","0","48","25","92","100","100","1"
3661,"40","95","16","58","100","52","90","10","12","0","0","48","8","89","94","100","1"
3677,"6","87","25","60","80","43","47","4","0","0","4","54","39","93","100","100","1"
3705,"37","87","100","100","56","91","19","67","22","54","79","42","59","16","0","0","1"
3711,"29","100","12","57","42","33","26","0","0","33","11","71","53","88","100","91","1"
3712,"11","87","14","61","58","36","24","0","0","28","9","77","41","100","100","94","1"
3719,"100","93","73","100","43","98","34","66","50","50","61","34","31","17","0","0","1"
3733,"39","97","17","63","65","49","45","0","0","5","14","60","42","100","100","98","1"
3751,"16","76","71","94","100","100","43","83","45","52","93","28","66","2","0","0","1"
3757,"100","100","63","99","28","85","27","49","67","40","88","16","46","0","0","1","1"
3760,"100","98","71","100","49","99","47","70","75","55","56","32","28","15","0","0","1"
3771,"21","97","27","57","82","40","50","0","0","0","0","60","41","96","100","100","1"
3812,"44","85","93","100","100","92","45","81","51","68","93","36","50","0","0","17","1"
3818,"100","100","57","92","24","87","0","58","33","57","66","42","48","13","8","0","1"
3821,"17","97","89","100","48","96","21","70","59","67","100","36","63","0","0","16","1"
3822,"100","99","68","100","47","74","52","52","81","42","63","14","30","0","0","16","1"
3847,"18","93","10","55","55","27","13","0","0","34","5","81","45","100","100","98","1"
3851,"23","100","18","78","36","40","17","0","0","51","21","83","61","84","100","82","1"
3865,"20","88","29","53","73","35","42","0","0","3","20","59","53","98","100","100","1"
3867,"12","91","79","100","45","95","29","63","88","68","100","24","52","0","0","23","1"
3884,"50","91","100","100","90","97","62","69","100","43","99","11","51","0","0","1","1"
3886,"21","87","24","55","60","29","24","0","0","17","10","68","52","90","100","100","1"
3900,"100","94","55","100","21","84","0","55","45","62","71","40","51","11","8","0","1"
3904,"45","96","0","68","48","62","52","12","6","0","20","54","45","100","100","99","1"
3910,"19","75","64","99","100","100","48","90","5","63","53","51","47","2","0","0","1"
3916,"19","86","17","47","59","32","21","0","1","38","0","90","49","98","100","100","1"
3979,"100","99","62","100","36","78","47","51","82","44","69","14","34","0","0","14","1"
4001,"67","88","95","100","47","75","18","50","81","62","100","29","64","0","0","7","1"
4005,"31","96","17","64","44","28","20","0","5","36","0","77","44","97","100","100","1"
4012,"8","98","17","58","71","44","40","0","2","27","0","78","33","100","100","99","1"
4032,"53","89","32","62","100","53","75","13","9","0","0","43","25","88","93","100","1"
4039,"100","100","68","97","16","90","8","56","53","57","83","36","52","8","0","0","1"
4055,"20","100","6","54","59","38","49","0","11","4","0","48","41","79","100","93","1"
4072,"33","86","21","56","91","44","65","1","0","0","2","51","26","94","100","100","1"
4105,"41","84","89","100","100","97","44","93","26","73","72","43","46","0","0","22","1"
4119,"14","96","0","62","53","40","65","0","26","3","17","54","33","97","100","100","1"
4126,"31","87","80","100","45","88","27","63","75","45","100","20","56","2","0","0","1"
4137,"15","100","23","62","66","40","37","0","0","13","0","56","45","85","100","99","1"
4138,"24","87","0","82","30","72","59","23","4","0","4","45","36","98","100","100","1"
4140,"47","85","100","100","40","87","24","59","80","61","90","34","57","8","0","0","1"
4144,"16","95","100","100","22","92","2","65","24","47","96","39","75","0","0","2","1"
4157,"40","95","100","100","32","85","10","58","78","61","87","29","43","0","0","6","1"
4158,"37","98","11","60","88","52","76","8","0","0","0","46","18","88","100","100","1"
4168,"43","89","93","100","66","91","40","64","82","43","100","15","52","0","0","1","1"
4177,"100","100","63","94","20","73","13","44","70","47","89","19","46","0","0","7","1"
4180,"100","81","83","96","26","100","0","88","16","54","69","40","87","6","34","0","1"
4189,"30","100","90","99","81","100","32","78","52","57","100","31","58","0","0","17","1"
4196,"13","98","0","74","51","57","32","0","2","22","4","85","41","100","100","100","1"
4200,"29","84","1","73","64","48","65","6","0","0","1","47","26","89","100","100","1"
4229,"30","96","31","62","60","26","24","0","8","35","0","76","35","100","100","100","1"
4230,"16","94","0","60","53","50","47","0","17","11","13","70","46","100","100","96","1"
4256,"31","92","5","50","59","42","43","0","1","3","0","63","45","92","100","100","1"
4259,"19","92","86","100","75","99","2","84","37","68","100","50","72","16","0","0","1"
4280,"49","85","49","61","71","25","27","0","8","37","0","79","42","99","100","100","1"
4322,"100","100","57","94","29","76","48","63","83","49","71","19","36","0","0","4","1"
4329,"43","95","20","65","45","25","9","0","0","27","20","71","55","91","100","100","1"
4337,"100","100","64","98","36","99","34","68","59","60","62","36","32","17","0","0","1"
4348,"12","79","9","48","36","18","30","0","12","31","0","62","34","88","100","100","1"
4356,"42","85","24","51","75","38","52","4","0","0","17","49","50","85","100","100","1"
4406,"30","87","16","55","68","41","52","0","0","16","15","63","41","100","100","98","1"
4407,"1","88","0","54","59","31","36","0","11","28","4","68","28","97","100","100","1"
4412,"18","88","2","54","40","25","2","0","0","30","20","70","45","100","100","93","1"
4419,"30","98","16","60","53","28","46","0","13","29","0","68","27","95","100","100","1"
4430,"100","100","64","98","26","85","36","63","76","58","75","24","42","1","0","0","1"
4431,"2","80","36","50","54","12","9","0","0","41","5","78","49","95","100","100","1"
4448,"100","97","66","100","30","88","24","55","54","59","61","27","38","0","0","1","1"
4460,"0","69","10","54","67","37","47","0","14","13","17","54","34","92","100","100","1"
4470,"33","100","0","66","28","40","55","12","1","0","10","46","44","84","100","92","1"
4506,"28","95","100","100","51","97","0","74","16","54","86","42","71","13","1","0","1"
4523,"14","91","7","55","36","17","4","0","0","51","4","98","52","100","100","97","1"
4525,"17","100","17","69","60","36","30","0","0","20","0","73","41","91","100","92","1"
4564,"27","89","0","64","62","46","54","0","3","1","6","52","31","93","100","100","1"
4591,"16","100","10","59","57","35","27","0","0","29","2","86","45","96","100","96","1"
4592,"12","67","42","36","57","4","12","0","0","38","12","73","55","87","100","100","1"
4594,"28","88","75","100","100","99","51","87","8","70","32","45","47","12","0","0","1"
4597,"21","89","34","58","62","22","31","0","8","40","0","79","48","96","100","100","1"
4609,"41","100","0","65","41","43","61","12","6","0","24","47","42","93","100","98","1"
4618,"100","98","60","100","35","76","39","56","75","52","73","21","39","5","0","0","1"
4633,"36","81","36","70","80","36","52","0","0","22","29","63","35","94","100","100","1"
4641,"43","87","100","100","77","98","29","77","60","59","95","32","54","4","0","0","1"
4679,"20","100","34","63","57","25","23","0","6","39","0","81","48","95","100","95","1"
