"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","Y"
237,"25","4","4","0","0","1","2","4","0","1"
238,"34","3","3","6","1","1","2","3","0","1"
296,"24","2","3","3","1","1","2","3","0","1"
297,"45","1","1","8","1","1","2","2","1","1"
298,"38","1","3","2","1","0","3","3","1","1"
299,"44","4","4","1","1","0","1","4","0","1"
300,"26","2","4","0","1","1","4","1","0","1"
303,"24","3","4","0","1","0","3","1","0","1"
304,"39","4","4","1","1","1","1","4","0","1"
305,"31","3","4","2","1","1","1","4","0","1"
306,"42","2","2","3","1","1","3","4","0","1"
307,"45","4","4","0","1","1","2","4","0","1"
309,"47","1","2","2","1","0","1","3","0","1"
310,"23","3","4","2","1","1","3","4","0","1"
312,"38","4","4","1","1","0","1","4","0","1"
313,"35","4","4","3","0","1","1","4","0","1"
314,"27","2","4","4","1","1","1","4","0","1"
315,"24","2","2","3","1","0","2","1","0","1"
316,"26","2","2","3","1","1","2","1","0","1"
318,"26","4","3","4","1","1","2","3","0","1"
320,"22","4","4","0","1","1","1","1","0","1"
324,"31","3","4","2","1","1","1","2","1","1"
325,"36","2","3","2","1","1","3","2","1","1"
327,"26","4","4","1","1","1","1","3","0","1"
328,"30","4","4","2","0","1","3","1","0","1"
329,"35","4","4","2","0","1","3","3","0","1"
331,"43","4","4","5","1","1","1","4","0","1"
332,"23","4","4","2","1","1","2","4","0","1"
333,"47","1","2","4","1","1","2","2","0","1"
334,"40","3","3","1","1","0","3","3","0","1"
335,"37","3","4","1","1","1","2","4","0","1"
338,"25","2","4","1","1","1","2","2","0","1"
339,"42","1","3","12","1","1","3","3","0","1"
341,"30","1","2","4","1","1","4","1","0","1"
343,"42","1","4","11","0","1","2","2","1","1"
344,"32","4","4","1","1","1","1","4","0","1"
345,"43","1","3","8","1","1","3","1","0","1"
347,"47","4","4","4","1","1","1","4","0","1"
348,"32","4","4","4","1","0","1","3","0","1"
350,"39","1","1","5","1","0","3","1","1","1"
351,"32","3","4","4","1","1","1","4","0","1"
352,"34","4","4","2","0","1","1","4","0","1"
353,"34","4","4","2","1","0","1","3","0","1"
355,"47","1","2","7","1","0","3","2","0","1"
357,"49","2","4","6","0","1","2","3","0","1"
358,"35","2","3","0","1","1","2","4","0","1"
359,"48","4","4","3","1","1","2","4","0","1"
363,"22","3","4","2","1","1","2","3","0","1"
364,"32","2","3","4","0","1","2","4","0","1"
365,"35","4","4","2","0","1","3","4","0","1"
367,"47","4","4","1","0","1","1","4","0","1"
368,"25","2","3","0","1","1","2","4","0","1"
369,"37","1","3","0","1","1","3","4","0","1"
370,"42","3","3","3","1","0","2","4","0","1"
372,"23","3","3","2","1","1","2","2","0","1"
373,"25","2","3","1","1","0","2","1","0","1"
375,"37","4","4","2","0","1","1","4","0","1"
376,"48","1","1","8","1","0","2","2","1","1"
377,"46","1","2","3","1","1","2","1","1","1"
378,"45","2","3","4","1","0","2","4","0","1"
501,"49","4","4","1","1","1","3","4","0","1"
502,"25","4","4","2","1","1","3","2","0","1"
504,"38","2","4","3","1","1","1","3","0","1"
505,"41","2","4","1","1","1","2","3","0","1"
507,"48","4","4","4","0","1","1","4","0","1"
508,"37","4","4","2","1","1","1","4","0","1"
509,"24","3","3","2","1","0","3","2","0","1"
510,"45","1","1","0","0","0","2","1","0","1"
511,"36","1","4","2","1","1","2","2","0","1"
513,"25","4","4","1","1","1","3","4","0","1"
514,"27","3","3","4","1","1","2","4","0","1"
515,"24","2","3","2","1","1","3","1","0","1"
517,"38","1","2","8","1","1","3","3","1","1"
519,"28","3","3","5","1","1","3","3","0","1"
520,"20","3","4","1","1","1","3","2","0","1"
521,"24","3","4","2","1","1","2","4","0","1"
522,"23","3","4","4","1","1","3","1","1","1"
523,"28","4","4","1","1","0","1","3","0","1"
525,"19","4","4","1","1","1","1","3","0","1"
526,"38","1","3","4","1","0","2","2","0","1"
527,"30","3","4","4","0","1","2","3","0","1"
528,"44","1","2","2","1","1","3","1","0","1"
529,"32","4","4","3","1","1","1","4","0","1"
530,"22","3","4","2","1","1","3","3","0","1"
531,"26","2","3","3","1","1","3","4","0","1"
532,"20","3","4","0","1","1","3","3","0","1"
533,"24","4","4","4","1","1","1","4","0","1"
535,"38","3","3","4","0","0","3","2","1","1"
536,"22","2","2","1","1","1","3","1","1","1"
537,"41","1","3","3","1","0","2","4","0","1"
538,"37","3","4","0","1","1","3","4","0","1"
539,"24","3","4","2","1","1","2","2","0","1"
541,"31","3","4","2","1","1","1","4","0","1"
542,"32","1","3","4","1","1","2","2","1","1"
591,"45","1","3","10","1","1","3","4","0","1"
592,"42","1","4","4","1","1","1","3","0","1"
593,"40","2","4","8","1","1","3","3","0","1"
594,"29","4","4","0","1","0","1","4","0","1"
597,"26","4","4","0","1","0","1","4","0","1"
598,"31","4","4","0","1","0","1","4","0","1"
599,"40","3","4","8","1","1","3","3","0","1"
601,"36","2","4","5","1","1","2","3","0","1"
602,"37","3","4","7","1","1","2","1","0","1"
604,"25","4","4","1","1","0","3","3","0","1"
605,"29","2","3","1","1","1","1","1","0","1"
607,"28","4","4","0","0","0","1","4","0","1"
608,"19","2","3","0","1","0","2","2","0","1"
609,"45","4","4","1","1","0","3","3","0","1"
610,"44","3","4","1","1","1","1","3","0","1"
611,"20","2","3","1","0","1","3","2","0","1"
612,"43","1","3","2","1","0","2","2","1","1"
613,"28","3","4","1","1","1","3","1","1","1"
614,"47","4","4","1","1","0","1","3","0","1"
616,"44","4","4","3","1","1","2","4","0","1"
617,"21","1","3","4","1","1","3","2","0","1"
618,"35","4","4","2","1","0","2","4","0","1"
620,"34","4","4","4","1","1","2","3","0","1"
621,"30","2","4","4","1","0","1","4","0","1"
622,"45","2","4","2","1","0","2","4","0","1"
623,"49","2","1","10","1","0","2","4","0","1"
624,"34","4","4","2","1","0","1","4","0","1"
626,"44","1","1","11","1","1","4","1","1","1"
627,"36","3","4","6","1","1","2","4","0","1"
628,"36","2","4","2","1","0","2","4","0","1"
629,"34","2","3","3","1","0","3","2","0","1"
630,"40","3","3","1","0","1","3","4","0","1"
631,"27","3","4","2","1","0","2","2","0","1"
632,"22","2","3","1","1","1","3","3","0","1"
634,"47","1","4","8","1","1","3","3","0","1"
637,"24","4","4","1","1","1","3","3","0","1"
638,"40","3","3","4","1","1","2","2","0","1"
639,"27","4","4","1","1","1","1","2","0","1"
640,"46","3","2","11","1","0","2","2","1","1"
644,"47","2","1","5","0","1","2","4","0","1"
646,"24","4","4","1","1","1","2","2","0","1"
647,"49","3","4","6","1","1","1","4","0","1"
649,"29","1","2","7","1","1","2","4","0","1"
650,"24","2","4","2","1","1","3","4","0","1"
651,"23","4","4","1","1","0","2","4","0","1"
654,"25","1","4","2","1","0","3","3","1","1"
655,"30","3","3","5","1","0","3","4","0","1"
656,"40","4","4","3","0","1","3","4","0","1"
657,"44","1","3","4","1","1","3","3","1","1"
658,"49","4","4","4","1","1","3","4","0","1"
659,"28","3","4","3","1","1","2","1","0","1"
660,"30","2","3","4","1","0","3","2","0","1"
661,"25","2","2","3","1","1","3","3","0","1"
662,"22","2","4","4","1","1","3","4","0","1"
665,"39","3","4","3","1","1","1","4","0","1"
666,"40","3","3","3","1","1","2","2","1","1"
667,"32","2","4","5","1","1","2","3","0","1"
668,"38","2","4","5","0","1","2","2","0","1"
669,"33","4","4","5","1","1","3","4","0","1"
670,"25","3","3","0","1","1","3","4","0","1"
788,"41","3","2","11","1","1","2","3","0","1"
789,"23","2","2","2","1","1","3","3","0","1"
790,"26","2","4","3","1","1","3","4","0","1"
791,"29","3","4","4","1","1","1","4","0","1"
792,"35","4","4","1","1","1","1","3","0","1"
793,"32","2","3","1","1","1","3","3","0","1"
796,"42","4","4","1","1","1","2","4","0","1"
797,"28","3","4","1","0","1","2","2","0","1"
798,"43","4","4","6","1","1","1","3","0","1"
799,"34","3","4","4","1","1","1","3","0","1"
800,"22","4","4","0","1","0","2","4","0","1"
801,"43","1","2","8","1","1","2","2","1","1"
802,"46","1","4","8","1","1","1","4","1","1"
804,"47","1","4","7","1","1","2","3","0","1"
805,"48","3","4","5","1","1","2","3","0","1"
806,"45","3","4","0","1","1","1","3","0","1"
808,"28","1","4","0","1","0","4","1","0","1"
809,"38","1","2","6","1","1","2","1","1","1"
810,"25","1","3","1","1","1","4","2","0","1"
811,"22","4","4","0","1","1","2","1","1","1"
812,"45","3","4","0","1","1","1","3","0","1"
813,"35","4","4","3","1","1","1","4","0","1"
814,"18","3","4","1","1","1","3","3","0","1"
815,"21","4","4","1","1","1","3","4","0","1"
816,"42","4","4","3","1","0","1","4","0","1"
819,"47","2","3","12","1","1","3","1","0","1"
821,"33","4","4","3","0","0","1","3","0","1"
822,"45","4","4","1","1","0","1","4","0","1"
824,"31","3","3","2","1","0","3","3","0","1"
825,"47","3","2","5","1","1","4","4","0","1"
826,"48","3","4","8","1","1","3","3","0","1"
828,"29","3","4","1","0","1","2","3","0","1"
829,"42","4","4","0","0","0","3","4","0","1"
830,"28","4","4","3","0","0","1","4","0","1"
831,"47","4","4","1","1","1","1","4","0","1"
832,"47","1","2","2","1","1","2","4","0","1"
833,"46","4","4","6","1","1","1","4","0","1"
885,"42","3","2","9","1","1","3","3","0","1"
887,"39","2","2","6","1","1","2","4","0","1"
889,"48","4","4","5","1","1","1","4","0","1"
890,"24","4","4","0","1","0","2","2","0","1"
891,"43","1","2","8","1","1","2","4","0","1"
894,"43","1","2","8","1","0","3","1","0","1"
895,"28","2","2","1","1","1","3","2","0","1"
896,"27","2","4","1","1","0","1","3","0","1"
897,"44","4","2","8","1","1","3","3","0","1"
898,"47","2","3","4","1","1","2","3","0","1"
899,"48","2","3","8","1","1","1","4","0","1"
900,"21","3","4","1","1","1","2","3","0","1"
901,"49","4","4","6","0","0","1","4","0","1"
903,"25","4","4","1","1","1","1","3","0","1"
904,"38","2","2","1","1","0","3","2","0","1"
905,"41","2","3","1","1","0","2","3","0","1"
906,"27","2","3","5","1","1","2","1","0","1"
907,"27","1","2","4","1","1","3","1","1","1"
908,"27","2","4","3","1","0","3","2","0","1"
909,"29","2","3","2","1","1","3","1","0","1"
910,"26","2","3","3","1","1","3","1","0","1"
911,"32","3","3","7","1","0","2","3","0","1"
912,"31","2","2","4","1","1","3","3","0","1"
913,"37","4","4","1","1","1","1","4","0","1"
915,"30","4","4","0","0","0","3","3","0","1"
916,"32","4","4","1","1","0","1","3","0","1"
917,"44","3","4","2","1","1","1","4","1","1"
919,"32","2","4","4","1","1","3","2","0","1"
920,"22","2","2","2","1","1","3","1","0","1"
921,"44","1","3","0","1","1","2","3","0","1"
922,"22","4","4","0","1","1","2","4","0","1"
924,"49","2","2","8","1","0","3","1","0","1"
925,"24","3","3","2","1","1","3","3","0","1"
926,"18","3","4","0","1","0","3","1","0","1"
927,"22","2","4","0","1","1","3","3","0","1"
929,"37","3","3","2","1","1","1","4","0","1"
931,"20","3","3","1","1","1","2","3","0","1"
933,"41","1","4","4","1","1","3","3","0","1"
934,"34","4","4","3","0","1","1","2","0","1"
935,"48","1","3","4","1","1","3","3","1","1"
936,"38","3","4","2","0","1","2","4","0","1"
937,"44","2","2","1","1","0","3","2","0","1"
938,"44","3","4","6","1","1","3","4","0","1"
942,"28","4","4","3","0","1","1","4","0","1"
945,"42","3","3","8","1","1","4","3","0","1"
946,"23","4","4","0","0","1","2","4","0","1"
947,"33","4","4","1","0","0","3","4","0","1"
948,"19","2","2","2","1","1","3","1","0","1"
949,"24","2","2","2","1","1","3","1","1","1"
950,"27","2","2","1","1","0","3","2","1","1"
951,"23","2","4","2","1","1","1","4","0","1"
952,"18","3","4","1","1","1","3","1","0","1"
953,"30","2","3","2","1","0","2","4","0","1"
954,"29","3","2","0","1","1","2","2","0","1"
956,"37","2","3","4","1","1","2","3","0","1"
957,"37","2","3","2","0","0","3","3","0","1"
959,"33","4","4","0","1","0","3","3","0","1"
960,"29","4","4","0","1","0","2","4","0","1"
961,"39","1","2","2","1","1","3","1","1","1"
964,"24","2","2","3","1","1","2","4","0","1"
1079,"25","4","4","0","1","0","3","4","0","1"
1081,"22","4","4","0","1","1","3","2","0","1"
1083,"40","2","2","8","1","1","1","3","0","1"
1084,"29","2","4","0","1","0","3","4","0","1"
1085,"31","4","4","3","1","0","2","3","0","1"
1088,"27","3","4","2","1","1","1","3","0","1"
1089,"30","1","1","7","1","1","2","3","0","1"
1090,"45","2","3","11","1","1","2","3","0","1"
1092,"36","1","4","1","1","1","3","3","0","1"
1093,"30","4","4","4","1","1","2","4","0","1"
1094,"30","4","2","0","1","0","3","3","0","1"
1095,"45","2","4","8","1","1","2","3","0","1"
1096,"21","2","4","0","1","1","2","2","0","1"
1097,"26","4","4","3","1","1","1","4","0","1"
1098,"30","2","3","1","1","1","2","1","0","1"
1099,"34","2","2","9","1","0","2","3","0","1"
1100,"26","4","4","0","1","1","3","4","0","1"
1101,"28","4","4","5","1","1","1","4","0","1"
1102,"38","2","2","6","1","1","3","4","0","1"
1104,"27","3","4","0","1","1","3","3","0","1"
1105,"26","2","3","1","1","0","4","4","0","1"
1106,"37","3","4","4","1","0","2","4","0","1"
1107,"36","4","3","3","1","0","3","2","0","1"
1108,"20","4","4","0","0","0","2","4","0","1"
1109,"43","3","4","2","0","1","3","4","0","1"
1110,"31","1","1","6","1","1","3","2","0","1"
1111,"46","1","2","7","1","1","3","1","1","1"
1112,"34","3","4","4","0","1","3","1","1","1"
1113,"16","2","4","1","1","1","3","4","0","1"
1114,"40","2","2","6","1","1","2","2","1","1"
1115,"21","2","3","0","1","1","3","4","0","1"
1116,"22","2","1","0","1","1","2","2","0","1"
1117,"45","4","4","1","1","1","1","4","0","1"
1118,"28","4","4","5","1","0","3","4","0","1"
1120,"47","1","1","4","1","1","2","2","0","1"
1121,"33","3","3","3","1","1","3","4","0","1"
1122,"49","1","2","5","1","0","2","2","1","1"
1181,"27","2","3","3","1","1","3","4","0","1"
1182,"38","3","4","2","1","1","2","3","0","1"
1183,"25","3","3","4","1","1","3","2","0","1"
1185,"47","2","3","0","1","0","1","3","0","1"
1186,"25","1","4","1","1","1","2","1","0","1"
1187,"32","4","4","2","1","1","2","3","0","1"
1188,"49","4","4","7","0","1","2","4","0","1"
1189,"20","2","2","2","1","1","2","2","1","1"
1190,"43","4","4","5","1","0","1","4","0","1"
1191,"49","4","4","6","1","1","1","2","0","1"
1192,"42","3","3","10","1","1","3","3","0","1"
1193,"20","2","3","1","1","1","2","3","0","1"
1195,"24","2","4","1","1","1","3","1","0","1"
1198,"46","2","4","6","1","1","1","4","0","1"
1199,"41","1","3","10","1","1","2","3","1","1"
1201,"17","2","2","3","1","1","3","1","0","1"
1203,"26","3","4","2","1","1","3","3","0","1"
1204,"44","2","1","3","1","0","3","2","0","1"
1205,"48","3","4","3","1","1","3","1","0","1"
1206,"48","1","2","8","1","1","3","1","0","1"
1207,"26","3","3","3","1","0","2","4","0","1"
1208,"24","4","4","2","1","1","3","3","0","1"
1209,"21","3","3","2","1","1","2","2","0","1"
1211,"22","2","4","1","1","1","2","4","0","1"
1212,"22","3","3","2","1","1","3","4","0","1"
1213,"28","4","4","0","0","1","1","3","0","1"
1215,"20","2","4","0","1","1","3","2","0","1"
1216,"25","2","2","3","1","0","3","1","0","1"
1217,"27","2","3","2","1","1","3","3","0","1"
1218,"22","2","3","2","1","1","3","1","0","1"
1219,"26","3","4","3","1","1","3","2","0","1"
1220,"42","3","2","1","1","1","3","3","0","1"
1223,"37","2","3","5","1","0","3","2","0","1"
1224,"22","4","4","2","1","1","1","3","0","1"
1225,"25","3","3","1","1","1","3","2","0","1"
1226,"39","3","3","1","0","1","3","4","0","1"
1228,"31","2","4","5","1","1","3","2","0","1"
1229,"45","3","4","6","1","1","2","4","0","1"
1230,"38","3","3","7","1","1","3","1","0","1"
1231,"30","4","4","2","1","1","1","4","0","1"
1232,"28","3","4","1","1","1","3","4","0","1"
1233,"25","3","4","1","1","1","2","1","0","1"
1234,"23","3","4","2","1","0","2","3","0","1"
1235,"21","2","4","2","1","1","3","1","0","1"
1237,"23","2","4","4","1","1","3","3","0","1"
1238,"22","2","1","0","1","1","3","2","0","1"
1239,"40","4","4","3","1","1","3","4","0","1"
1240,"25","3","3","1","1","1","3","4","0","1"
1242,"40","4","4","2","1","1","3","4","0","1"
1243,"36","2","2","0","0","0","3","3","0","1"
1244,"28","1","4","2","1","0","2","3","0","1"
1245,"40","1","1","2","1","0","3","4","0","1"
1246,"45","3","4","2","0","1","1","4","0","1"
1247,"21","1","3","0","1","0","3","4","1","1"
1248,"28","4","4","1","0","1","1","3","0","1"
1250,"39","3","4","1","0","1","3","4","0","1"
1251,"30","4","4","3","1","0","2","4","0","1"
1252,"28","4","4","1","0","1","2","4","0","1"
1253,"25","3","3","1","1","1","3","1","0","1"
1254,"35","2","3","8","1","1","3","2","0","1"
1260,"44","4","4","3","1","0","1","4","1","1"
1261,"19","4","4","0","0","1","3","4","0","1"
1263,"47","3","3","2","1","1","2","4","0","1"
1264,"35","3","3","2","1","0","2","2","0","1"
1265,"19","3","3","1","1","1","2","4","0","1"
1266,"42","2","4","2","1","1","3","4","0","1"
1267,"47","1","1","1","1","1","3","4","0","1"
1381,"27","2","4","1","1","0","1","1","0","1"
1382,"23","4","4","0","1","0","1","4","0","1"
1383,"38","1","2","12","1","1","2","3","0","1"
1384,"39","2","2","5","1","0","3","2","1","1"
1385,"49","2","3","4","1","1","2","3","0","1"
1387,"42","4","4","3","1","1","1","4","0","1"
1388,"23","3","3","1","1","0","2","4","0","1"
1389,"24","3","4","0","1","0","2","3","0","1"
1390,"43","2","3","3","0","1","2","3","0","1"
1391,"33","1","2","0","1","0","3","3","0","1"
1392,"49","1","2","8","1","1","3","1","1","1"
1393,"37","3","4","7","1","1","3","4","0","1"
1394,"25","3","4","3","1","1","1","1","0","1"
1396,"46","3","1","5","1","1","3","2","0","1"
1397,"25","3","3","1","1","1","2","2","0","1"
1398,"39","3","1","1","1","1","2","3","0","1"
1399,"31","3","3","1","1","0","3","4","0","1"
1400,"36","2","3","6","1","1","2","3","0","1"
1401,"25","2","3","2","1","1","3","2","0","1"
1402,"45","2","3","6","1","1","3","2","1","1"
1405,"48","3","4","11","1","1","1","4","0","1"
1407,"45","4","4","1","1","1","1","4","0","1"
1408,"25","3","2","1","1","0","3","3","0","1"
1411,"41","3","4","3","0","1","2","4","0","1"
1412,"32","4","4","1","0","1","1","4","0","1"
1413,"34","1","3","4","1","0","3","4","0","1"
1415,"25","4","4","0","0","1","2","4","0","1"
1416,"34","3","3","6","1","1","2","3","0","1"
1475,"45","1","1","8","1","1","2","2","1","1"
1476,"38","1","3","2","1","0","3","3","1","1"
1477,"44","4","4","1","1","0","1","4","0","1"
1481,"24","3","4","0","1","0","3","1","0","1"
1482,"39","4","4","1","1","1","1","4","0","1"
1483,"31","3","4","2","1","1","1","4","0","1"
1484,"42","2","2","3","1","1","3","4","0","1"
1486,"26","4","4","1","1","1","1","4","0","1"
1487,"47","1","2","2","1","0","1","3","0","1"
1488,"23","3","4","2","1","1","3","4","0","1"
1490,"38","4","4","1","1","0","1","4","0","1"
1491,"35","4","4","3","0","1","1","4","0","1"
1492,"27","2","4","4","1","1","1","4","0","1"
1493,"24","2","2","3","1","0","2","1","0","1"
1496,"26","4","3","4","1","1","2","3","0","1"
1497,"23","2","4","2","1","1","3","3","0","1"
1498,"22","4","4","0","1","1","1","1","0","1"
1499,"21","4","4","1","1","1","1","4","0","1"
1501,"36","2","3","5","1","1","2","3","0","1"
1502,"31","3","4","2","1","1","1","2","1","1"
1503,"36","2","3","2","1","1","3","2","1","1"
1505,"26","4","4","1","1","1","1","3","0","1"
1506,"30","4","4","2","0","1","3","1","0","1"
1507,"35","4","4","2","0","1","3","3","0","1"
1508,"45","4","4","4","1","1","2","3","0","1"
1510,"23","4","4","2","1","1","2","4","0","1"
1511,"47","1","2","4","1","1","2","2","0","1"
1512,"40","3","3","1","1","0","3","3","0","1"
1513,"37","3","4","1","1","1","2","4","0","1"
1514,"25","3","2","2","1","1","3","2","0","1"
1515,"32","2","4","0","1","0","3","4","0","1"
1518,"36","2","3","4","1","1","3","1","1","1"
1520,"32","2","4","2","1","1","3","3","0","1"
1521,"42","1","4","11","0","1","2","2","1","1"
1523,"43","1","3","8","1","1","3","1","0","1"
1524,"31","3","3","2","1","0","2","3","0","1"
1526,"32","4","4","4","1","0","1","3","0","1"
1528,"39","1","1","5","1","0","3","1","1","1"
1529,"32","3","4","4","1","1","1","4","0","1"
1530,"34","4","4","2","0","1","1","4","0","1"
1531,"34","4","4","2","1","0","1","3","0","1"
1532,"36","4","4","2","1","1","3","3","0","1"
1534,"43","1","3","5","1","0","3","2","0","1"
1535,"49","2","4","6","0","1","2","3","0","1"
1536,"35","2","3","0","1","1","2","4","0","1"
1538,"41","3","3","5","1","1","3","4","0","1"
1540,"21","3","3","0","1","1","2","2","0","1"
1541,"22","3","4","2","1","1","2","3","0","1"
1542,"32","2","3","4","0","1","2","4","0","1"
1543,"35","4","4","2","0","1","3","4","0","1"
1544,"21","1","2","1","1","0","3","4","0","1"
1545,"47","4","4","1","0","1","1","4","0","1"
1546,"25","2","3","0","1","1","2","4","0","1"
1547,"37","1","3","0","1","1","3","4","0","1"
1548,"42","3","3","3","1","0","2","4","0","1"
1550,"23","3","3","2","1","1","2","2","0","1"
1551,"25","2","3","1","1","0","2","1","0","1"
1552,"28","2","4","1","1","0","3","4","0","1"
1553,"37","4","4","2","0","1","1","4","0","1"
1555,"46","1","2","3","1","1","2","1","1","1"
1556,"45","2","3","4","1","0","2","4","0","1"
1678,"35","2","2","6","1","0","3","1","1","1"
1679,"49","4","4","1","1","1","3","4","0","1"
1680,"25","4","4","2","1","1","3","2","0","1"
1682,"38","2","4","3","1","1","1","3","0","1"
1683,"41","2","4","1","1","1","2","3","0","1"
1684,"35","3","4","6","1","0","2","2","0","1"
1685,"48","4","4","4","0","1","1","4","0","1"
1686,"37","4","4","2","1","1","1","4","0","1"
1687,"24","3","3","2","1","0","3","2","0","1"
1688,"45","1","1","0","0","0","2","1","0","1"
1689,"36","1","4","2","1","1","2","2","0","1"
1691,"25","4","4","1","1","1","3","4","0","1"
1692,"27","3","3","4","1","1","2","4","0","1"
1694,"48","1","1","6","1","1","2","3","1","1"
1697,"28","3","3","5","1","1","3","3","0","1"
1698,"20","3","4","1","1","1","3","2","0","1"
1699,"24","3","4","2","1","1","2","4","0","1"
1700,"23","3","4","4","1","1","3","1","1","1"
1701,"28","4","4","1","1","0","1","3","0","1"
1702,"27","3","4","0","1","0","3","3","0","1"
1703,"19","4","4","1","1","1","1","3","0","1"
1704,"38","1","3","4","1","0","2","2","0","1"
1705,"30","3","4","4","0","1","2","3","0","1"
1706,"44","1","2","2","1","1","3","1","0","1"
1707,"32","4","4","3","1","1","1","4","0","1"
1708,"22","3","4","2","1","1","3","3","0","1"
1709,"26","2","3","3","1","1","3","4","0","1"
1710,"20","3","4","0","1","1","3","3","0","1"
1711,"24","4","4","4","1","1","1","4","0","1"
1712,"33","2","2","3","0","0","2","4","0","1"
1713,"38","3","3","4","0","0","3","2","1","1"
1714,"22","2","2","1","1","1","3","1","1","1"
1715,"41","1","3","3","1","0","2","4","0","1"
1716,"37","3","4","0","1","1","3","4","0","1"
1717,"24","3","4","2","1","1","2","2","0","1"
