"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
6477,"153","442","67626","2.889","0.114","0.215","6.27","7689","14538","1227","1"
6688,"52","461","23972","8.865","0.192","0.248","11.52","4607","5938","400","1"
6740,"38","70","2660","1.842","0.059","0.062","19.63","157","165","8","1"
6767,"31","71","2201","2.29","0.159","0.296","10.29","350","651","34","1"
6793,"33","28","924","0.848","0.098","0.271","5.69","91","250","16","1"
6794,"17","60","1020","3.529","0.139","0.371","7.1","142","378","20","1"
6801,"7","24","168","3.429","0.101","0.298","1.89","17","50","9","1"
6804,"5","9","45","1.8","0.178","0.533","1.6","8","24","5","1"
6808,"7","47","329","6.714","0.158","0.289","5.78","52","95","9","1"
6960,"24","18","432","0.75","0.139","0.377","2.07","60","163","29","1"
6963,"16","4","64","0.25","0.156","0.531","5","10","34","2","1"
6979,"13","5","65","0.385","0.323","0.554","5.25","21","36","4","1"
6986,"6","5","30","0.833","0.367","1","2.2","11","30","5","1"
7086,"37","20","740","0.541","0.131","0.193","4.22","97","143","23","1"
7187,"32","106","3392","3.313","0.198","0.395","4.56","671","1341","147","1"
7230,"31","37","1147","1.194","0.189","0.555","2.07","217","637","105","1"
7320,"54","357","19278","6.611","0.324","0.644","6.22","6238","12422","1003","1"
7372,"83","326","27058","3.928","0.286","0.671","7.55","7741","18149","1025","1"
7507,"11","48","528","4.364","0.237","0.39","7.35","125","206","17","1"
7566,"16","30","480","1.875","0.133","0.471","2.29","64","226","28","1"
7596,"17","9","153","0.529","0.209","0.497","1.88","32","76","17","1"
7620,"86","67","5762","0.779","0.164","0.935","2.37","947","5386","399","1"
7745,"212","464","98368","2.189","0.052","0.07","11.84","5066","6884","428","1"
7765,"9","10","90","1.111","0.144","0.522","6.5","13","47","2","1"
7821,"7","9","63","1.286","0.143","0.238","9","9","15","1","1"
7822,"37","72","2664","1.946","0.12","0.257","7.64","321","685","42","1"
7832,"49","79","3871","1.612","0.084","0.179","7.36","324","694","44","1"
7894,"85","69","5865","0.812","0.165","0.441","1.44","969","2588","674","1"
7895,"13","13","169","1","0.124","0.45","3.5","21","76","6","1"
7899,"8","5","40","0.625","0.275","0.45","3.67","11","18","3","1"
7906,"6","9","54","1.5","0.148","0.296","4","8","16","2","1"
8107,"9","4","36","0.444","0.25","0.75","9","9","27","1","1"
8200,"34","27","918","0.794","0.219","0.554","3.09","201","509","65","1"
8201,"36","43","1548","1.194","0.117","0.183","3.07","181","283","59","1"
8299,"30","60","1800","2","0.154","0.457","1.85","278","823","150","1"
8477,"83","315","26145","3.795","0.295","0.594","9.21","7725","15523","839","1"
1,"6","3","18","500","0.5","0.944","2.25","9","17","4","0"
3,"5","3","15","0.6","0.533","0.733","8","8","11","1","0"
4,"5","5","25","1","0.4","0.56","5","10","14","2","0"
5,"13","25","325","1.923","0.234","0.286","10.86","76","93","7","0"
6,"13","25","325","1.923","0.351","0.68","6","114","221","19","0"
7,"9","80","720","8.889","0.333","0.878","2.02","240","632","119","0"
8,"9","83","747","9.222","0.284","0.849","1.91","212","634","111","0"
9,"12","56","672","4.667","0.256","0.827","2.02","172","556","85","0"
10,"10","83","830","8.3","0.266","0.827","2.1","221","686","105","0"
12,"11","65","715","5.909","0.39","0.877","2.61","279","627","107","0"
13,"8","8","64","1","0.234","0.328","5","15","21","3","0"
14,"11","119","1309","10.818","0.236","0.747","1.75","309","978","177","0"
15,"2","69","138","34.5","0.623","0.906","10.75","86","125","8","0"
16,"1","10","10","10","0.9","1","9","9","10","1","0"
17,"14","185","2590","13.214","0.254","0.651","2.27","657","1687","289","0"
18,"2","17","34","8.5","0.588","0.971","6.67","20","33","3","0"
20,"7","46","322","6.571","0.155","0.587","4.17","50","189","12","0"
21,"11","9","99","0.818","0.485","0.727","6","48","72","8","0"
23,"11","8","88","0.727","0.511","0.852","9","45","75","5","0"
24,"10","49","490","4.9","0.52","0.961","2.97","255","471","86","0"
25,"9","95","855","10.556","0.285","0.723","2.1","244","618","116","0"
27,"8","84","672","10.5","0.269","0.966","1.79","181","649","101","0"
28,"7","14","98","2","0.184","0.612","18","18","60","1","0"
29,"8","46","368","5.75","0.391","0.951","1.85","144","350","78","0"
30,"12","62","744","5.167","0.234","0.66","1.58","174","491","110","0"
31,"9","64","576","7.111","0.465","0.899","2.58","268","518","104","0"
33,"8","40","320","5","0.403","0.991","2.53","129","317","51","0"
34,"1","75","75","75","0.813","1","5.55","61","75","11","0"
35,"11","8","88","0.727","0.375","0.602","4.13","33","53","8","0"
36,"2","157","314","78.5","0.506","0.551","26.5","159","173","6","0"
37,"1","52","52","52","0.788","1","10.25","41","52","4","0"
38,"8","79","632","9.875","0.375","0.956","2.12","237","604","112","0"
40,"10","11","110","1.1","0.382","1","1.5","42","110","28","0"
41,"9","12","108","1.333","0.407","0.88","1.69","44","95","26","0"
42,"10","81","810","8.1","0.279","0.81","2.11","226","656","107","0"
43,"9","82","738","9.111","0.329","0.871","2.11","243","643","115","0"
44,"10","100","1000","10","0.449","0.874","2.82","449","874","159","0"
45,"9","32","288","3.556","0.365","0.781","2.23","105","225","47","0"
46,"8","46","368","5.75","0.348","0.918","1.97","128","338","65","0"
47,"10","131","1310","13.1","0.456","0.851","3","597","1115","199","0"
48,"8","45","360","5.625","0.156","0.725","1.87","56","261","30","0"
50,"9","97","873","10.778","0.466","0.973","2.42","407","849","168","0"
51,"9","21","189","2.333","0.354","0.878","2.68","67","166","25","0"
52,"9","120","1080","13.333","0.331","0.859","1.98","358","928","181","0"
53,"3","213","639","71","0.318","0.379","11.94","203","242","17","0"
55,"3","7","21","2.333","0.619","0.619","13","13","13","1","0"
56,"11","49","539","4.455","0.343","0.666","4.3","185","359","43","0"
57,"1","49","49","49","0.286","1","7","14","49","2","0"
58,"10","24","240","2.4","0.267","0.821","2.06","64","197","31","0"
59,"9","81","729","9","0.348","0.927","2.21","254","676","115","0"
61,"10","64","640","6.4","0.514","0.966","2.84","329","618","116","0"
62,"25","118","2950","4.72","0.268","0.745","2.02","791","2198","392","0"
63,"10","126","1260","12.6","0.456","0.883","2.85","575","1113","202","0"
64,"9","47","423","5.222","0.31","0.78","2.34","131","330","56","0"
66,"7","47","329","6.714","0.271","0.878","2.23","89","289","40","0"
67,"8","59","472","7.375","0.322","0.881","2.41","152","416","63","0"
68,"8","16","128","2","0.477","0.906","2.44","61","116","25","0"
69,"7","16","112","2.286","0.42","0.768","2.14","47","86","22","0"
70,"12","8","96","0.667","0.448","0.656","4.3","43","63","10","0"
71,"11","98","1078","8.909","0.317","0.643","2.8","342","693","122","0"
72,"34","114","3876","3.353","0.105","0.301","2.59","406","1166","157","0"
75,"8","21","168","2.625","0.31","0.744","1.68","52","125","31","0"
77,"1","17","17","17","0.412","1","1.75","7","17","4","0"
78,"6","17","102","2.833","0.314","0.686","2.29","32","70","14","0"
79,"7","17","119","2.429","0.387","0.857","2.71","46","102","17","0"
80,"8","45","360","5.625","0.206","0.789","1.8","74","284","41","0"
81,"11","123","1353","11.182","0.25","0.514","1.95","338","695","173","0"
83,"9","36","324","4","0.556","0.923","3.21","180","299","56","0"
84,"9","23","207","2.556","0.3","1","1.51","62","207","41","0"
85,"9","79","711","8.778","0.343","0.899","2.2","244","639","111","0"
86,"9","34","306","3.778","0.412","0.902","1.91","126","276","66","0"
87,"9","82","738","9.111","0.428","0.936","2.38","316","691","133","0"
88,"12","98","1176","8.167","0.267","0.627","2.33","314","737","135","0"
89,"12","102","1224","8.5","0.292","0.764","2.09","357","935","171","0"
92,"10","65","650","6.5","0.475","0.971","2.76","309","631","112","0"
96,"11","8","88","0.727","0.727","0.989","10.67","64","87","6","0"
98,"21","106","2226","5.048","0.136","0.396","1.99","302","881","152","0"
99,"9","12","108","1.333","0.407","1","1.57","44","108","28","0"
100,"9","104","936","11.556","0.282","0.904","1.93","264","846","137","0"
101,"12","102","1224","8.5","0.257","0.804","1.77","315","984","178","0"
102,"9","81","729","9","0.287","0.826","2.22","209","602","94","0"
103,"8","75","600","9.375","0.373","0.955","1.95","224","573","115","0"
104,"9","99","891","11","0.461","0.906","2.65","411","807","155","0"
105,"8","14","112","1.75","0.268","0.554","3","30","62","10","0"
106,"8","47","376","5.875","0.324","0.896","2.18","122","337","56","0"
108,"13","33","429","2.538","0.245","0.534","3.89","105","229","27","0"
109,"11","9","99","0.818","0.404","0.717","4.44","40","71","9","0"
110,"11","8","88","0.727","0.545","1","3.2","48","88","15","0"
111,"9","97","873","10.778","0.455","0.939","2.28","397","820","174","0"
113,"9","92","828","10.222","0.35","0.917","2.07","290","759","140","0"
114,"9","81","729","9","0.337","0.918","1.97","246","669","125","0"
115,"11","43","473","3.909","0.336","0.753","2.74","159","356","58","0"
118,"8","36","288","4.5","0.615","0.938","3.22","177","270","55","0"
119,"10","122","1220","12.2","0.294","0.689","2.1","359","840","171","0"
120,"9","85","765","9.444","0.308","0.744","1.95","236","569","121","0"
121,"6","35","210","5.833","0.533","0.943","2.67","112","198","42","0"
124,"1","14","14","14","0.929","1","13","13","14","1","0"
126,"4","17","68","4.25","0.309","0.559","3.5","21","38","6","0"
127,"5","16","80","3.2","0.313","0.813","2.08","25","65","12","0"
128,"3","183","549","61","0.488","0.577","29.78","268","317","9","0"
129,"11","9","99","0.818","0.384","0.727","3.8","38","72","10","0"
131,"9","36","324","4","0.577","0.948","3.02","187","307","62","0"
134,"12","83","996","6.917","0.253","0.756","1.75","252","753","144","0"
135,"8","12","96","1.5","0.438","1","1.5","42","96","28","0"
136,"9","32","288","3.556","0.413","0.993","1.72","119","286","69","0"
137,"12","61","732","5.083","0.251","0.746","1.77","184","546","104","0"
138,"9","83","747","9.222","0.335","0.843","2.05","250","630","122","0"
139,"10","126","1260","12.6","0.456","0.875","2.98","575","1103","193","0"
140,"9","43","387","4.778","0.481","0.953","3.15","186","369","59","0"
142,"8","43","344","5.375","0.392","0.927","2.21","135","319","61","0"
144,"8","50","400","6.25","0.253","0.8","2.3","101","320","44","0"
146,"8","3","24","0.375","0.458","0.708","2.75","11","17","4","0"
147,"7","14","98","2","0.327","0.99","2.67","32","97","12","0"
150,"8","84","672","10.5","0.36","0.954","1.94","242","641","125","0"
151,"9","83","747","9.222","0.293","0.751","2.28","219","561","96","0"
152,"8","33","264","4.125","0.39","0.973","1.72","103","257","60","0"
153,"11","26","286","2.364","0.283","0.888","2.19","81","254","37","0"
154,"1","84","84","84","0.917","1","19.25","77","84","4","0"
156,"8","40","320","5","0.456","0.997","2.7","146","319","54","0"
158,"7","43","301","6.143","0.243","0.807","3.48","73","243","21","0"
159,"9","109","981","12.111","0.243","0.848","1.58","238","832","151","0"
160,"6","29","174","4.833","0.339","0.874","1.51","59","152","39","0"
161,"9","37","333","4.111","0.453","0.964","2.7","151","321","56","0"
162,"13","217","2821","16.692","0.361","0.686","3.05","1019","1934","334","0"
163,"13","440","5720","33.846","0.255","0.696","2.18","1459","3983","669","0"
164,"10","108","1080","10.8","0.319","0.746","2.14","345","806","161","0"
165,"5","17","85","3.4","0.471","0.929","2.35","40","79","17","0"
167,"8","72","576","9","0.399","0.811","2.25","230","467","102","0"
169,"8","132","1056","16.5","0.31","0.861","1.84","327","909","178","0"
171,"13","409","5317","31.462","0.267","0.582","2.23","1421","3095","637","0"
172,"13","115","1495","8.846","0.314","0.695","2.62","469","1039","179","0"
173,"11","63","693","5.727","0.332","0.724","2.77","230","502","83","0"
174,"6","114","684","19","0.278","0.741","1.76","190","507","108","0"
176,"10","107","1070","10.7","0.273","0.738","1.81","292","790","161","0"
177,"8","133","1064","16.625","0.272","0.825","1.78","289","878","162","0"
178,"10","35","350","3.5","0.337","0.714","1.87","118","250","63","0"
179,"22","71","1562","3.227","0.519","0.843","11.25","810","1317","72","0"
180,"8","190","1520","23.75","0.326","0.63","2.22","495","957","223","0"
181,"10","76","760","7.6","0.474","0.799","3.03","360","607","119","0"
182,"9","71","639","7.889","0.39","0.768","2.44","249","491","102","0"
183,"10","77","770","7.7","0.469","0.905","2.64","361","697","137","0"
184,"9","107","963","11.889","0.357","0.875","2.14","344","843","161","0"
185,"5","29","145","5.8","0.538","0.89","2.36","78","129","33","0"
186,"9","9","81","1","0.63","0.802","5.1","51","65","10","0"
187,"12","128","1536","10.667","0.339","0.737","2.91","520","1132","179","0"
188,"12","410","4920","34.167","0.333","0.661","2.69","1636","3254","608","0"
189,"12","142","1704","11.833","0.337","0.759","3.04","575","1293","189","0"
190,"8","183","1464","22.875","0.288","0.664","2.08","421","972","202","0"
191,"5","39","195","7.8","0.492","0.872","2.46","96","170","39","0"
192,"3","304","912","101.33","0.555","0.686","42.17","506","626","12","0"
194,"6","29","174","4.833","0.356","0.684","1.88","62","119","33","0"
195,"12","84","1008","7","0.43","0.703","3.52","433","709","123","0"
196,"12","498","5976","41.5","0.307","0.639","2.44","1833","3818","752","0"
197,"9","12","108","1.333","0.62","0.944","4.79","67","102","14","0"
198,"8","13","104","1.625","0.587","0.837","4.69","61","87","13","0"
199,"13","498","6474","38.308","0.281","0.688","2.28","1820","4453","799","0"
200,"10","61","610","6.1","0.487","0.834","3.13","297","509","95","0"
201,"12","497","5964","41.417","0.297","0.733","2.25","1773","4374","789","0"
202,"5","39","195","7.8","0.328","0.744","2.06","64","145","31","0"
204,"8","27","216","3.375","0.218","0.852","2.24","47","184","21","0"
206,"8","108","864","13.5","0.293","0.897","1.69","253","775","150","0"
207,"7","63","441","9","0.333","0.971","1.99","147","428","74","0"
208,"5","50","250","10","0.36","0.812","1.58","90","203","57","0"
209,"5","43","215","8.6","0.265","0.786","1.33","57","169","43","0"
210,"9","42","378","4.667","0.384","0.817","2.38","145","309","61","0"
212,"25","115","2875","4.6","0.296","0.65","2.56","851","1868","333","0"
214,"5","88","440","17.6","0.364","0.775","1.67","160","341","96","0"
215,"2","6","12","3","0.667","1","4","8","12","2","0"
216,"3","27","81","9","0.481","0.926","1.77","39","75","22","0"
218,"22","71","1562","3.227","0.499","0.836","10.99","780","1306","71","0"
219,"8","192","1536","24","0.316","0.746","1.74","485","1146","279","0"
220,"13","414","5382","31.846","0.357","0.653","3.08","1919","3514","623","0"
221,"14","186","2604","13.286","0.307","0.652","2.5","799","1698","319","0"
222,"6","89","534","14.833","0.403","0.82","2.03","215","438","106","0"
224,"19","45","855","2.368","0.243","0.582","3.01","208","498","69","0"
225,"24","96","2304","4","0.208","0.504","3.18","480","1161","151","0"
226,"12","10","120","0.833","0.442","0.792","5.3","53","95","10","0"
227,"8","67","536","8.375","0.392","0.724","2.31","210","388","91","0"
229,"10","272","2720","27.2","0.279","0.789","1.98","758","2147","382","0"
231,"9","271","2439","30.111","0.292","0.727","1.9","712","1774","374","0"
233,"7","4","28","0.571","0.286","0.357","8","8","10","1","0"
234,"8","34","272","4.25","0.309","0.908","1.5","84","247","56","0"
235,"8","7","56","0.875","0.393","0.946","2","22","53","11","0"
236,"10","15","150","1.5","0.247","0.72","1.61","37","108","23","0"
240,"10","272","2720","27.2","0.187","0.649","1.38","508","1765","368","0"
242,"6","9","54","1.5","0.352","0.87","1.58","19","47","12","0"
244,"4","9","36","2.25","0.417","1","1.67","15","36","9","0"
245,"7","5","35","0.714","0.2","0.429","7","7","15","1","0"
246,"10","236","2360","23.6","0.183","0.572","1.31","432","1349","330","0"
247,"8","135","1080","16.875","0.077","0.294","1.54","83","317","54","0"
248,"8","62","496","7.75","0.218","0.629","1.57","108","312","69","0"
249,"8","245","1960","30.625","0.198","0.555","1.36","389","1088","286","0"
251,"10","271","2710","27.1","0.173","0.557","1.47","469","1510","318","0"
253,"6","24","144","4","0.292","0.764","1.56","42","110","27","0"
255,"5","12","60","2.4","0.267","0.733","1.78","16","44","9","0"
256,"10","147","1470","14.7","0.168","0.55","1.29","247","809","191","0"
257,"7","7","49","1","0.347","0.939","1.89","17","46","9","0"
258,"7","8","56","1.143","0.25","0.768","1.56","14","43","9","0"
259,"6","187","1122","31.167","0.188","0.591","1.26","211","663","168","0"
260,"8","263","2104","32.875","0.154","0.549","1.19","325","1156","274","0"
261,"8","26","208","3.25","0.264","0.62","1.45","55","129","38","0"
262,"7","18","126","2.571","0.31","0.96","1.39","39","121","28","0"
263,"8","29","232","3.625","0.207","0.651","1.6","48","151","30","0"
264,"8","126","1008","15.75","0.188","0.685","1.27","189","690","149","0"
265,"7","128","896","18.286","0.203","0.663","1.33","182","594","137","0"
267,"5","52","260","10.4","0.208","0.542","1.35","54","141","40","0"
268,"5","34","170","6.8","0.224","0.606","1.31","38","103","29","0"
269,"4","11","44","2.75","0.364","0.955","1.33","16","42","12","0"
270,"6","50","300","8.333","0.213","0.577","1.31","64","173","49","0"
271,"5","75","375","15","0.259","0.867","1.18","97","325","82","0"
272,"9","158","1422","17.556","0.217","0.535","1.45","308","761","212","0"
273,"1","41","41","41","0.927","1","12.67","38","41","3","0"
274,"6","49","294","8.167","0.241","0.633","1.42","71","186","50","0"
275,"7","37","259","5.286","0.243","0.71","1.34","63","184","47","0"
276,"6","28","168","4.667","0.292","0.875","1.29","49","147","38","0"
277,"14","29","406","2.071","0.14","0.502","1.63","57","204","35","0"
279,"7","41","287","5.857","0.209","0.652","1.36","60","187","44","0"
281,"6","41","246","6.833","0.224","0.85","1.2","55","209","46","0"
282,"5","32","160","6.4","0.431","0.988","1.47","69","158","47","0"
283,"6","14","84","2.333","0.274","0.929","1.28","23","78","18","0"
286,"4","14","56","3.5","0.268","0.732","1.67","15","41","9","0"
287,"1","27","27","27","0.407","1","1.83","11","27","6","0"
289,"3","9","27","3","0.296","1","1.33","8","27","6","0"
290,"7","19","133","2.714","0.406","1","1.69","54","133","32","0"
291,"9","19","171","2.111","0.269","0.643","1.35","46","110","34","0"
292,"6","6","36","1","0.361","0.778","1.63","13","28","8","0"
293,"8","23","184","2.875","0.277","0.832","1.7","51","153","30","0"
295,"7","33","231","4.714","0.299","0.848","1.44","69","196","48","0"
296,"9","251","2259","27.889","0.187","0.672","1.33","423","1517","317","0"
297,"9","49","441","5.444","0.265","0.744","1.6","117","328","73","0"
298,"8","63","504","7.875","0.256","0.694","1.52","129","350","85","0"
299,"9","22","198","2.444","0.192","0.697","1.31","38","138","29","0"
300,"7","16","112","2.286","0.259","0.705","1.38","29","79","21","0"
301,"7","8","56","1.143","0.375","1","1.62","21","56","13","0"
303,"7","20","140","2.857","0.35","0.757","1.58","49","106","31","0"
304,"10","262","2620","26.2","0.179","0.606","1.36","469","1587","344","0"
305,"7","21","147","3","0.327","0.728","1.41","48","107","34","0"
306,"7","23","161","3.286","0.248","0.944","1.21","40","152","33","0"
307,"6","17","102","2.833","0.275","0.824","1.33","28","84","21","0"
309,"10","38","380","3.8","0.195","0.55","1.48","74","209","50","0"
310,"7","15","105","2.143","0.314","1","1.57","33","105","21","0"
312,"8","27","216","3.375","0.236","0.685","1.31","51","148","39","0"
313,"8","4","32","0.5","0.375","1","2.4","12","32","5","0"
314,"7","9","63","1.286","0.302","0.905","1.46","19","57","13","0"
315,"7","29","203","4.143","0.365","0.946","2","74","192","37","0"
316,"6","9","54","1.5","0.296","0.796","1.23","16","43","13","0"
317,"7","31","217","4.429","0.313","0.853","1.58","68","185","43","0"
319,"9","49","441","5.444","0.265","0.653","1.36","117","288","86","0"
320,"9","29","261","3.222","0.234","0.889","1.39","61","232","44","0"
321,"5","7","35","1.4","0.429","0.971","1.36","15","34","11","0"
322,"7","40","280","5.714","0.336","0.971","1.57","94","272","60","0"
323,"7","48","336","6.857","0.33","0.821","1.44","111","276","77","0"
324,"7","13","91","1.857","0.396","1","1.33","36","91","27","0"
326,"9","65","585","7.222","0.222","0.786","1.35","130","460","96","0"
327,"7","11","77","1.571","0.325","0.935","1.39","25","72","18","0"
329,"7","9","63","1.286","0.333","0.952","1.4","21","60","15","0"
330,"5","32","160","6.4","0.35","0.863","1.33","56","138","42","0"
331,"7","11","77","1.571","0.39","0.792","1.58","30","61","19","0"
