"X1","X2","X3","X4","X5","X6","Y"
24025,4332,4757,9510,1145,5864,0
19176,3065,5956,2033,2575,2802,0
10850,7555,14961,188,6899,46,0
630,11095,23998,787,9529,72,0
9670,7027,10471,541,4618,65,0
5181,22044,21531,1740,7353,4985,0
3103,14069,21955,1668,6792,1452,0
6269,1095,1980,3860,609,2162,0
3347,4051,6996,239,1538,301,0
40721,3916,5876,532,2587,1278,0
27329,1449,1947,2436,204,1333,0
4098,29892,26866,2616,17740,1340,0
5417,9933,10487,38,7572,1282,0
13779,1970,1648,596,227,436,0
6137,5360,8040,129,3084,1603,0
8590,3045,7854,96,4095,225,0
7823,6245,6544,4154,4074,964,0
4760,1227,3250,3724,1247,1145,0
85,20959,45828,36,24231,1423,0
9,1534,7417,175,3468,27,0
2446,7260,3993,5870,788,3095,0
8352,2820,1293,779,656,144,0
16705,2037,3202,10643,116,1365,0
18291,1266,21042,5373,4173,14472,0
19899,5332,8713,8132,764,648,0
8190,6343,9794,1285,1901,1780,0
20398,1137,3,4407,3,975,0
717,3587,6532,7530,529,894,0
12205,12697,28540,869,12034,1009,0
10766,1175,2067,2096,301,167,0
1640,3259,3655,868,1202,1653,0
7005,829,3009,430,610,529,0
219,9540,14403,283,7818,156,0
20874,1563,1783,2320,550,772,0
11867,3327,4814,1178,3837,120,0
22925,73498,32114,987,20070,903,0
7864,542,4042,9735,165,46,0
24904,3836,5330,3443,454,3178,0
11405,596,1638,3347,69,360,0
12754,2762,2530,8693,627,1117,0
9198,27472,32034,3232,18906,5130,0
11314,3090,2062,35009,71,2698,0
5626,12220,11323,206,5038,244,0
23,2616,8118,145,3874,217,0
403,254,610,774,54,63,0
503,112,778,895,56,132,0
11594,7779,12144,3252,8035,3029,0
1420,10810,16267,1593,6766,1838,0
56082,3504,8906,18028,1480,2498,0
14100,2132,3445,1336,1491,548,0
1454,6337,10704,133,6830,1831,0
1406,16729,28986,673,836,3,0
11818,1648,1694,2276,169,1647,0
12579,11114,17569,805,6457,1519,0
19046,2770,2469,8853,483,2708,0
18044,1080,2000,2555,118,1266,0
11134,793,2988,2715,276,610,0
11173,2521,3355,1517,310,222,0
6990,3880,5380,1647,319,1160,0
8258,2344,2147,3896,266,635,0
17160,1200,3412,2417,174,1136,0
4020,3234,1498,2395,264,255,0
11170,10769,8814,2194,1976,143,0
36050,1642,2961,4787,500,1621,0
19219,1840,1658,8195,349,483,0
140,8847,3823,142,1062,3,0
42312,926,1510,1718,410,1819,0
7149,2428,699,6316,395,911,0
2101,589,314,346,70,310,0
14903,2032,2479,576,955,328,0
9434,1042,1235,436,256,396,0
7388,1882,2174,720,47,537,0
6300,1289,2591,1170,199,326,0
4625,8579,7030,4575,2447,1542,0
3087,8080,8282,661,721,36,0
13537,4257,5034,155,249,3271,0
5387,4979,3343,825,637,929,0
17623,4280,7305,2279,960,2616,0
30379,13252,5189,321,51,1450,0
37036,7152,8253,2995,20,3,0
10405,1596,1096,8425,399,318,0
18827,3677,1988,118,516,201,0
22039,8384,34792,42,12591,4430,0
9203,3373,2707,1286,1082,526,0
5924,584,542,4052,283,434,0
31812,1433,1651,800,113,1440,0
16225,1825,1765,853,170,1067,0
18840,1371,3135,3001,352,184,0
622,55,137,75,7,8,0
1989,10690,19460,233,11577,2153,0
3830,5291,14855,317,6694,3182,0
17773,1366,2474,3378,811,418,0
355,7704,14682,398,8077,303,0
12434,540,283,1092,3,2233,0
15177,2024,3810,2665,232,610,0
5224,7603,8584,2540,3674,238,0
15615,12653,19858,4425,7108,2379,0
4822,6721,9170,993,4973,3637,0
2926,3195,3268,405,1680,693,0
5809,735,803,1393,79,429,0
5414,717,2155,2399,69,750,0
260,8675,13430,1116,7015,323,0
200,25862,19816,651,8773,6250,0
955,5479,6536,333,2840,707,0
514,7677,19805,937,9836,716,0
286,1208,5241,2515,153,1442,0
2343,7845,11874,52,4196,1697,0
45640,6958,6536,7368,1532,230,0
12759,7330,4533,1752,20,2631,0
11002,7075,4945,1152,120,395,0
3157,4888,2500,4477,273,2165,0
694,8533,10518,443,6907,156,0
327,918,4710,74,334,11,0
3009,521,854,3470,949,727,0
2438,8002,9819,6269,3459,3,0
8040,7639,11687,2758,6839,404,0
834,11577,11522,275,4027,1856,0
13624,295,1381,890,43,84,0
5509,1461,2251,547,187,409,0
180,3485,20292,959,5618,666,0
7107,1012,2974,806,355,1142,0
17023,5139,5230,7888,330,1755,0
36817,3045,1493,4802,210,1824,0
894,1703,1841,744,759,1153,0
680,1610,223,862,96,379,0
27901,3749,6964,4479,603,2503,0
9061,829,683,16919,621,139,0
11693,2317,2543,5845,274,1409,0
17360,6200,9694,1293,3620,1721,0
3366,2884,2431,977,167,1104,0
12238,7108,6235,1093,2328,2079,0
49063,3965,4252,5970,1041,1404,0
25767,3613,2013,10303,314,1384,0
68951,4411,12609,8692,751,2406,0
40254,640,3600,1042,436,18,0
7149,2247,1242,1619,1226,128,0
15354,2102,2828,8366,386,1027,0
42786,286,471,1388,32,22,0
2708,2160,2642,502,965,1522,0
6022,3354,3261,2507,212,686,0
2838,3086,4329,3838,825,1060,0
381,4025,9670,388,7271,1371,0
1689,6964,26316,1456,15469,37,0
3043,1172,1763,2234,217,379,0
1198,2602,8335,402,3843,303,0
2771,6939,15541,2693,6600,1115,0
27380,7184,12311,2809,4621,1022,0
3428,2380,2028,1341,1184,665,0
5981,14641,20521,2005,12218,445,0
3521,1099,1997,1796,173,995,0
608,1106,1533,830,90,195,0
117,6264,21203,228,8682,1111,0
14039,7393,2548,6386,1333,2341,0
190,727,2012,245,184,127,0
22686,134,218,3157,9,548,0
759,18664,1660,6114,536,4100,0
796,5878,2109,340,232,776,0
19746,2872,2006,2601,468,503,0
4734,607,864,1206,159,405,0
2121,1601,2453,560,179,712,0
2615,873,1524,1103,514,468,0
4692,6128,8025,1619,4515,3105,0
9561,2217,1664,1173,222,447,0
3477,894,534,1457,252,342,0
22335,1196,2406,2046,101,558,0
6211,337,683,1089,41,296,0
39679,3944,4955,1364,523,2235,0
20105,1887,1939,8164,716,790,0
3884,3801,1641,876,397,4829,0
15076,6257,7398,1504,1916,3113,0
5841,1450,1162,597,476,70,0
3136,8630,13586,5641,4666,1426,0
38793,3154,2648,1034,96,1242,0
4048,5164,10391,130,813,179,0
1821,1364,3450,4006,397,361,0
10683,21858,15400,3635,282,5120,0
11635,922,1614,2583,192,1068,0
1206,3620,2857,1945,353,967,0
20918,1916,1573,1960,231,961,0
9785,848,1172,1677,200,406,0
9385,1530,1422,3019,227,684,0
3352,1181,1328,5502,311,1000,0
2647,2761,2313,907,95,1827,0
23632,6730,3842,8620,385,819,0
12377,865,3204,1398,149,452,0
9602,1316,1263,2921,841,290,0
4515,11991,9345,2644,3378,2213,0
11535,1666,1428,6838,64,743,0
11442,1032,582,5390,74,247,0
9612,577,935,1601,469,375,0
4446,906,1238,3576,153,1014,0
27167,2801,2128,13223,92,1902,0
26539,4753,5091,220,10,340,0
18073,4613,3444,4324,914,715,0
6884,1046,1167,2069,593,378,0
7362,12844,18683,2854,7883,553,0
8257,3880,6407,1646,2730,344,0
8708,3634,6100,2349,2123,5137,0
6633,2096,4563,1389,1860,1892,0
2126,3289,3281,1535,235,4365,0
97,3605,12400,98,2970,62,0
4983,4859,6633,17866,912,2435,0
5969,1990,3417,5679,1135,290,0
7842,6046,8552,1691,3540,1874,0
4389,10940,10908,848,6728,993,0
5065,5499,11055,364,3485,1063,0
660,8494,18622,133,6740,776,0
4456,5266,13227,25,6818,1393,0
17063,4847,9053,1031,3415,1784,0
17565,3686,4657,1059,1803,668,0
16980,2884,12232,874,3213,249,0
13134,9347,14316,3141,5079,1894,0
31012,16687,5429,15082,439,1163,0
3047,5970,4910,2198,850,317,0
8607,1750,3580,47,84,2501,0
3097,4230,16483,575,241,2080,0
8533,5506,5160,13486,1377,1498,0
21117,1162,4754,269,1328,395,0
1982,3218,1493,1541,356,1449,0
16731,3922,7994,688,2371,838,0
29703,12051,16027,13135,182,2204,0
39228,1431,764,4510,93,2346,0
14531,15488,30243,437,14841,1867,0
10290,1981,2232,1038,168,2125,0
2787,1698,2510,65,477,52,0
